PLAYER	TEAM	FP	COMP	ATT	CMP%	PASSYD	PASSTD	INT	RUSHYD	RUSHTD	FUML
Cam Newton	CAR	22.7	20.9	34.2	0.611	259	1.22	0.9	54	0.7	0.19
Drew Brees	NO	22.2	29.8	42.2	0.708	349	2.65	1.34	4	0.06	0.17
Matthew Stafford	DET	21.2	23.7	36	0.657	290	2.7	0.67	3	0.02	0.12
Michael Vick	PHI	20.9	20.9	34.3	0.61	271	1.42	1.19	52	0.45	0.53
Matt Ryan	ATL	20.7	24.7	42.2	0.586	311	2.2	0.57	6	0.06	0.15
Tom Brady	NE	20.6	23.5	34.6	0.679	282	2.53	0.85	7	0.09	0.15
Tony Romo	DAL	17.4	23.1	36	0.641	264	2.18	0.9	3	0.03	0.28
Eli Manning	NYG	17.4	21.5	36.3	0.593	279	2.03	0.8	1	0.02	0.24
Philip Rivers	SD	17.4	21	33.3	0.631	275	2.21	1.15	3	0.03	0.28
Peyton Manning	DEN	17.2	20.1	30.7	0.656	266	2.11	0.95	0	0.02	0.11
Josh Freeman	TB	16.8	22	36.7	0.598	262	1.46	1.14	21	0.19	0.27
Ben Roethlisberger	PIT	15.6	19.5	32.9	0.594	257	1.61	0.76	7	0.06	0.34
Joe Flacco	BAL	15.5	19.1	33.2	0.575	244	1.79	0.62	4	0.04	0.41
Alex Smith	SF	14.7	15	25.2	0.595	191	1.62	0.56	15	0.11	0.25
Christian Ponder	MIN	14.1	22	34.6	0.634	247	1.16	0.85	17	0.08	0.45
Andy Dalton	CIN	14	20.7	34.5	0.599	250	1.24	1.01	12	0.06	0.22
Ryan Fitzpatrick	BUF	13.3	21	36.2	0.58	229	1.54	1.52	12	0.05	0.25
Andrew Luck	IND	13.3	22.3	34.8	0.642	228	1.23	0.95	12	0.08	0.24
Jake Locker	TEN	12.6	18.5	36.1	0.512	226	0.98	0.9	11	0.09	0.11
Jay Cutler	CHI	11.9	18.1	32.4	0.56	228	1.01	0.85	9	0.08	0.44
Mark Sanchez	NYJ	11.3	17.8	33.8	0.526	213	1.05	1.04	7	0.09	0.32
Russell Wilson	SEA	11.2	14.8	27.8	0.532	166	0.84	0.9	25	0.22	0.4
Sam Bradford	STL	11	22.1	36.6	0.605	248	0.86	0.82	2	0.01	0.47
Matt Schaub	HOU	10.6	21.1	32.8	0.642	204	1.03	0.73	0	0	0.12
Ryan Tannehill	MIA	10.5	18.4	29.5	0.624	178	0.82	0.92	15	0.16	0.26
Matt Cassel	KC	9.3	17.4	32.6	0.534	186	0.77	0.77	7	0.03	0.3
Blaine Gabbert	JAC	9.3	18.3	29.1	0.627	175	0.8	0.43	8	0.04	0.55
Carson Palmer	OAK	9	19.8	36.2	0.547	219	0.72	1.33	2	0.02	0.16
Tim Tebow	NYJ	2.3	0.7	1.6	0.435	8	0.05	0.04	13	0.11	0.09
Nick Foles	PHI	0.6	1	1.6	0.586	12	0.06	0.06	0	0	0.01
Matt Leinart	OAK	0.4	0.8	1.4	0.562	9	0.03	0.04	0	0	0.01
Chad Henne	JAC	0.4	0.7	1	0.689	6	0.03	0.03	1	0	0.01
Matt Hasselbeck	TEN	0.3	0.5	1	0.566	6	0.03	0.02	0	0	0
Kyle Orton	DAL	0.3	0.5	0.8	0.582	5	0.03	0.03	0	0	0
Matt Moore	MIA	0.3	0.6	1	0.648	6	0.04	0.03	0	0	0.02
Matt Flynn	SEA	0.3	0.5	1	0.569	6	0.03	0.03	0	0	0.01
Shaun Hill	DET	0.2	0.3	0.5	0.634	3	0.02	0.02	0	0	0
Jason Campbell	CHI	0.2	0.2	0.4	0.566	3	0.02	0.01	0	0	0
Tarvaris Jackson	BUF	0.2	0.4	0.6	0.607	4	0.03	0.02	0	0	0
Bruce Gradkowski	CIN	0.2	0.3	0.6	0.503	4	0.02	0.03	0	0	0.01
Caleb Hanie	DEN	0.2	0.4	0.9	0.485	5	0.02	0.06	0	0	0
Chase Daniel	NO	0.2	0.3	0.4	0.807	3	0.02	0.01	0	0	0
Joe Webb	MIN	0.2	0.2	0.3	0.557	2	0.01	0.01	0	0	0
Colin Kaepernick	SF	0.2	0.2	0.4	0.636	3	0.02	0	0	0	0
Tyrod Taylor	BAL	0.2	0.3	0.4	0.723	3	0.01	0	0	0	0
David Carr	NYG	0.1	0.1	0.2	0.554	1	0.01	0	0	0	0
Dan Orlovsky	TB	0.1	0.1	0.2	0.595	2	0.01	0	0	0	0
Derek Anderson	CAR	0.1	0.1	0.3	0.472	2	0.01	0.01	0	0	0
