PLAYER	TEAM	FP	RUSH	RUSHYD	YPC	RUSHTD	REC	RECYD	RECTD	FUML
Arian Foster	HOU	25.1	20.7	121	5.87	1.21	4.9	45	0.28	0.23
LeSean McCoy	PHI	20.1	17.8	96	5.4	1.11	4.6	30	0.2	0.19
Shonn Greene	NYJ	15.4	19.6	100	5.11	0.73	1.9	10	0.06	0.16
Trent Richardson	CLE	15	17	76	4.44	0.66	3.2	28	0.18	0.18
Ryan Mathews	SD	14.9	17.9	81	4.51	0.54	3.9	32	0.13	0.23
Ray Rice	BAL	14.8	16.1	66	4.13	0.6	4.4	40	0.16	0.18
Reggie Bush	MIA	14.7	16.1	80	4.99	0.61	3.3	24	0.16	0.15
Doug Martin	TB	14.1	17.1	75	4.36	0.61	3	25	0.14	0.18
Darren McFadden	OAK	13.8	16.3	69	4.26	0.46	4.2	35	0.17	0.19
Adrian Peterson	MIN	13.7	16.3	78	4.79	0.69	2	16	0.08	0.18
Marshawn Lynch	SEA	13.3	17.4	76	4.36	0.66	2.1	15	0.09	0.2
Alfred Morris	WAS	11.3	16	69	4.31	0.65	0.8	6	0.04	0.15
C.J. Spiller	BUF	11.1	10.3	53	5.13	0.42	3.1	25	0.14	0.19
BenJarvus Green-Ellis	CIN	11	15.2	69	4.53	0.59	0.6	6	0.03	0.13
Stevan Ridley	NE	11	18.5	73	3.94	0.45	1.2	10	0.05	0.19
Willis McGahee	DEN	10.4	16.6	68	4.07	0.37	1.5	10	0.14	0.22
Michael Turner	ATL	10.4	16.1	66	4.11	0.56	0.7	5	0.02	0.15
Frank Gore	SF	10.4	15.8	62	3.89	0.41	2	16	0.09	0.17
DeMarco Murray	DAL	10.4	17	56	3.29	0.33	3.4	25	0.12	0.19
Kevin Smith	DET	10.2	9.2	44	4.8	0.31	2.5	25	0.28	0.13
Ahmad Bradshaw	NYG	9.6	15.3	43	2.83	0.36	3.5	27	0.13	0.19
Jamaal Charles	KC	9.5	11.9	51	4.31	0.29	2.1	19	0.17	0.16
Rashard Mendenhall	PIT	8.9	12.4	52	4.2	0.46	1.2	8	0.05	0.09
Donald Brown	IND	8.9	13.1	54	4.14	0.34	1.9	14	0.06	0.14
Steven Jackson	STL	8.6	15.6	44	2.81	0.23	3.4	27	0.1	0.18
Ben Tate	HOU	8.6	9.1	51	5.6	0.4	1.3	11	0.05	0.13
Beanie Wells	ARI	8.3	12	55	4.55	0.41	0.7	4	0.02	0.12
Peyton Hillis	KC	6.9	11.3	41	3.65	0.27	1.6	11	0.07	0.16
Chris Johnson	TEN	6.8	14.2	35	2.49	0.2	2.8	18	0.08	0.13
Fred Jackson	BUF	6.5	7.6	34	4.51	0.23	1.6	15	0.06	0.1
Cedric Benson	GB	5.6	12	36	3.04	0.22	0.9	6	0.04	0.13
Knowshon Moreno	DEN	5.6	4.9	19	3.92	0.12	2	20	0.19	0.1
Mikel LeShoure	DET	5.6	7.7	32	4.11	0.24	0.9	8	0.06	0.11
Kendall Hunter	SF	5.4	7.8	32	4.07	0.18	1.1	10	0.04	0.08
Ryan Williams	ARI	4.9	6	27	4.54	0.22	0.9	7	0.05	0.08
Marcel Reece	OAK	4.5	3	11	3.62	0.06	2.2	24	0.14	0.09
