PLAYER	TEAM	FP	COMP	ATT	CMP%	PASSYD	PASSTD	INT	RUSHYD	RUSHTD	FUML
Aaron Rodgers	GB	23.1	20.8	31.7	0.657	272	2.68	0.82	22	0.22	0.15
Cam Newton	CAR	22.6	20.1	32.5	0.618	264	1.25	0.96	51	0.7	0.21
Drew Brees	NO	21.7	26.6	39.2	0.677	325	2.66	1.12	3	0.04	0.16
Eli Manning	NYG	18.7	21.9	34.5	0.635	295	2.23	0.87	1	0.02	0.27
Robert Griffin III	WAS	18.6	20.6	36.1	0.571	248	1.34	1.19	47	0.34	0.52
Tony Romo	DAL	18	24	34.9	0.688	272	2.13	0.76	3	0.04	0.2
Tom Brady	NE	17.4	22	35.8	0.615	265	1.81	0.8	7	0.12	0.17
Josh Freeman	TB	17.4	22.4	38.2	0.586	265	1.26	0.93	28	0.23	0.29
Matthew Stafford	DET	16.4	24.3	39.7	0.611	260	1.98	1.13	4	0.04	0.14
Alex Smith	SF	15.7	17.4	29.2	0.597	222	1.69	0.68	14	0.1	0.28
Jay Cutler	CHI	15	21	33.4	0.628	258	1.36	0.78	10	0.1	0.4
Joe Flacco	BAL	14.7	21.3	37.5	0.567	268	1.57	0.91	4	0.02	0.52
Jake Locker	TEN	14.2	19.2	36.2	0.529	234	1.3	1.2	14	0.14	0.12
Ben Roethlisberger	PIT	14	20.7	35.1	0.589	259	1.26	0.68	5	0.02	0.36
Sam Bradford	STL	13.5	23.5	38.2	0.615	274	1.31	1.13	5	0.02	0.55
Ryan Fitzpatrick	BUF	13.2	19.7	30.3	0.65	194	1.46	1.02	17	0.08	0.25
Andrew Luck	IND	12.5	19.8	33	0.601	214	1.07	1.01	15	0.13	0.31
Christian Ponder	MIN	12	18.3	31	0.589	215	0.84	0.7	17	0.09	0.42
Russell Wilson	SEA	11.8	17.6	30.8	0.571	209	0.98	1.06	17	0.14	0.41
Mark Sanchez	NYJ	11.7	18.6	34.7	0.535	220	1.14	1.08	7	0.08	0.31
Andy Dalton	CIN	11.6	18.6	32.9	0.566	211	0.9	0.69	10	0.06	0.18
Matt Schaub	HOU	11.4	20.3	32.6	0.622	226	0.91	0.67	2	0.04	0.2
Carson Palmer	OAK	10.4	20.1	30.8	0.653	205	1.05	1.08	3	0.03	0.13
Brandon Weeden	CLE	9.5	20.9	33.9	0.618	197	0.86	1.04	5	0.04	0.22
Blaine Gabbert	JAC	8	14.4	29.8	0.483	165	0.74	0.61	6	0.02	0.52
John Skelton	ARI	6.2	9.5	17.8	0.533	114	0.64	0.55	4	0.02	0.17
Kevin Kolb	ARI	6.1	9.2	14.9	0.617	109	0.66	0.3	4	0.02	0.36
Tim Tebow	NYJ	2	0.6	1.6	0.388	7	0.04	0.04	12	0.1	0.1
Matt Leinart	OAK	0.6	1.2	1.7	0.665	12	0.06	0.05	0	0	0.02
Matt Hasselbeck	TEN	0.4	0.7	1.2	0.577	9	0.05	0.04	0	0	0.01
Chad Henne	JAC	0.4	0.6	1.1	0.527	7	0.03	0.04	0	0	0.01
Matt Flynn	SEA	0.4	0.6	1	0.626	7	0.04	0.04	0	0	0
David Carr	NYG	0.3	0.5	0.8	0.599	6	0.03	0.02	0	0	0.01
Rex Grossman	WAS	0.2	0.4	0.7	0.517	4	0.02	0.03	0	0	0.01
Kyle Orton	DAL	0.2	0.4	0.7	0.622	5	0.02	0.03	0	0	0
Chase Daniel	NO	0.2	0.3	0.4	0.7	3	0.02	0.01	0	0	0
Joe Webb	MIN	0.2	0.2	0.4	0.577	2	0	0.01	0	0.01	0
Tyrod Taylor	BAL	0.2	0.3	0.5	0.702	4	0.03	0.01	0	0	0
Shaun Hill	DET	0.1	0.2	0.4	0.589	2	0	0.01	0	0	0
Jason Campbell	CHI	0.1	0.1	0.2	0.713	2	0.01	0	0	0	0
Dan Orlovsky	TB	0.1	0.2	0.3	0.619	2	0.02	0	0	0	0
Derek Anderson	CAR	0.1	0.2	0.4	0.553	3	0.01	0.01	0	0	0.01
Tarvaris Jackson	BUF	0.1	0.3	0.5	0.655	3	0.01	0.01	0	0	0
Bruce Gradkowski	CIN	0.1	0.3	0.6	0.453	3	0.01	0.03	0	0	0.01
Drew Stanton	IND	0.1	0.2	0.4	0.541	2	0	0.01	0	0	0
Colt McCoy	CLE	0.1	0.2	0.2	0.626	1	0.01	0.01	0	0	0
Colin Kaepernick	SF	0.1	0.2	0.3	0.538	2	0.01	0.01	0	0	0
Ryan Mallett	NE	0.1	0.2	0.5	0.485	3	0.01	0.02	0	0	0
T.J. Yates	HOU	0.1	0.2	0.3	0.557	2	0.01	0.01	0	0	0
Graham Harrell	GB	0.1	0.2	0.3	0.603	2	0.01	0.01	0	0	0
Byron Leftwich	PIT	0.1	0.1	0.3	0.586	2	0.01	0	0	0	0
Austin Davis	STL	0.1	0.1	0.2	0.574	1	0.01	0.01	0	0	0
Peyton Manning	DEN	0	0	0	0	0	0	0	0	0	0
Michael Vick	PHI	0	0	0	0	0	0	0	0	0	0
Philip Rivers	SD	0	0	0	0	0	0	0	0	0	0
Matt Cassel	KC	0	0	0	0	0	0	0	0	0	0
Charlie Whitehurst	SD	0	0	0	0	0	0	0	0	0	0
Brady Quinn	KC	0	0	0	0	0	0	0	0	0	0
Matt Moore	MIA	0	0	0	0	0	0	0	0	0	0
Matt Ryan	ATL	0	0	0	0	0	0	0	0	0	0
Caleb Hanie	DEN	0	0	0	0	0	0	0	0	0	0
Greg McElroy	NYJ	0	0	0	0	0	0	0	0	0	0
Ryan Tannehill	MIA	0	0	0	0	0	0	0	0	0	0
Nick Foles	PHI	0	0	0	0	0	0	0	0	0	0
Tyler Thigpen	BUF	0	0	0	0	0	0	0	0	0	0
Luke McCown	ATL	0	0	0	0	0	0	0	0	0	0
