PLAYER	TEAM	FP	COMP	ATT	CMP%	PASSYD	PASSTD	INT	RUSHYD	RUSHTD	FUML
Aaron Rodgers	GB	27	24.8	33.3	0.744	312	2.98	0.51	26	0.23	0.15
Drew Brees	NO	22	29.7	42.7	0.696	328	2.7	1.08	4	0.04	0.17
Cam Newton	CAR	21.9	20.4	33.9	0.603	254	1.09	1.1	57	0.71	0.21
Tom Brady	NE	21.7	24.6	36.2	0.678	309	2.4	0.59	6	0.1	0.14
Robert Griffin III	WAS	20.2	23.2	37.8	0.613	274	1.3	1.35	50	0.45	0.5
Matt Ryan	ATL	19.4	22.2	37	0.601	291	2.12	0.67	6	0.05	0.14
Peyton Manning	DEN	17.8	21.6	34	0.634	287	2.17	1.11	0	0.01	0.12
Philip Rivers	SD	17.8	24.4	39.7	0.614	290	2.05	0.95	2	0.03	0.27
Michael Vick	PHI	16.6	18.7	34.5	0.543	233	1.36	1.1	37	0.23	0.51
Joe Flacco	BAL	16.5	20.4	35.4	0.575	265	1.88	0.7	4	0.02	0.42
Eli Manning	NYG	16.1	20.1	33.4	0.602	262	1.96	1.04	2	0.03	0.27
Jake Locker	TEN	15.8	19.8	34.3	0.578	244	1.49	0.67	10	0.11	0.13
Alex Smith	SF	15.7	17	28.1	0.606	204	1.84	0.71	15	0.11	0.25
Ben Roethlisberger	PIT	15.2	20.1	33.8	0.594	258	1.68	1.02	8	0.06	0.43
Andrew Luck	IND	14	22.2	37.4	0.593	256	1.34	1.48	13	0.12	0.31
Russell Wilson	SEA	13.3	18	30.1	0.597	200	1.17	0.94	21	0.17	0.3
Ryan Fitzpatrick	BUF	12.3	19	33.9	0.562	216	1.35	1.42	14	0.06	0.3
Mark Sanchez	NYJ	12.2	16.7	31.9	0.523	206	1.03	0.96	14	0.19	0.37
Christian Ponder	MIN	12.2	19.9	30.9	0.643	200	0.96	0.7	18	0.09	0.33
Sam Bradford	STL	11.9	22.4	35.7	0.628	248	0.91	0.61	4	0.03	0.52
Jay Cutler	CHI	11.7	18.5	30.2	0.611	207	1.12	0.66	6	0.04	0.31
Andy Dalton	CIN	11.7	19.4	32.9	0.591	221	0.86	0.77	10	0.06	0.2
Kevin Kolb	ARI	10.8	17.1	30.7	0.556	210	1.15	0.96	7	0.04	0.57
Ryan Tannehill	MIA	10.2	16.9	30.8	0.548	189	0.86	0.96	11	0.11	0.31
Matt Schaub	HOU	10.1	18.6	32.9	0.564	207	0.93	0.84	0	0.01	0.15
Matt Cassel	KC	9.6	18.5	33.3	0.555	204	0.71	0.96	9	0.05	0.32
Brandon Weeden	CLE	9.3	19.3	35.9	0.538	213	0.89	1.43	4	0.03	0.26
Blaine Gabbert	JAC	6.9	16.4	29.5	0.558	154	0.67	0.79	6	0.04	0.62
Tim Tebow	NYJ	3.1	0.7	1.6	0.424	8	0.04	0.04	19	0.16	0.12
Nick Foles	PHI	0.5	0.9	1.8	0.517	11	0.04	0.05	0	0	0.01
Matt Hasselbeck	TEN	0.4	0.5	0.8	0.639	7	0.04	0.02	0	0	0
Matt Flynn	SEA	0.4	0.7	1	0.661	7	0.05	0.03	0	0	0
Tarvaris Jackson	BUF	0.3	0.5	0.9	0.575	5	0.03	0.03	0	0	0.01
Matt Moore	MIA	0.3	0.7	1.2	0.547	7	0.03	0.03	0	0	0.03
Chad Henne	JAC	0.3	0.6	1.1	0.592	6	0.02	0.04	1	0	0.01
Caleb Hanie	DEN	0.2	0.3	0.7	0.482	5	0.02	0.04	0	0	0
Joe Webb	MIN	0.2	0.2	0.3	0.65	2	0.01	0	0	0.01	0
Colin Kaepernick	SF	0.2	0.3	0.4	0.644	3	0.02	0.01	0	0	0
Byron Leftwich	PIT	0.2	0.3	0.5	0.606	4	0.02	0.02	0	0	0
David Carr	NYG	0.1	0.2	0.4	0.545	3	0.01	0.02	0	0	0
Rex Grossman	WAS	0.1	0.2	0.4	0.586	3	0.02	0.01	0	0	0
Jason Campbell	CHI	0.1	0.2	0.3	0.596	2	0.01	0.01	0	0	0
Derek Anderson	CAR	0.1	0.1	0.2	0.516	1	0.01	0	0	0	0
Charlie Whitehurst	SD	0.1	0.2	0.5	0.492	2	0.01	0	0	0	0
Bruce Gradkowski	CIN	0.1	0.4	0.8	0.501	4	0.02	0.03	0	0	0.01
Brady Quinn	KC	0.1	0.1	0.3	0.534	2	0.01	0.01	0	0	0
Drew Stanton	IND	0.1	0.2	0.4	0.584	2	0.01	0.02	0	0	0
Chase Daniel	NO	0.1	0.2	0.2	0.826	2	0.01	0	0	0	0
Colt McCoy	CLE	0.1	0.1	0.2	0.559	1	0.01	0	0	0	0
Ryan Mallett	NE	0.1	0.2	0.4	0.558	3	0.01	0.01	0	0	0
T.J. Yates	HOU	0.1	0.1	0.3	0.524	1	0	0.01	0	0	0
Tyrod Taylor	BAL	0.1	0.2	0.3	0.748	2	0.01	0	0	0	0
Graham Harrell	GB	0.1	0.1	0.1	0.676	1	0	0	0	0	0
Austin Davis	STL	0.1	0.2	0.3	0.577	2	0.01	0.01	0	0	0
Luke McCown	ATL	0.1	0.3	0.6	0.533	4	0.02	0.03	0	0	0
Shaun Hill	DET	0	0	0	0	0	0	0	0	0	0
Carson Palmer	OAK	0	0	0	0	0	0	0	0	0	0
Tony Romo	DAL	0	0	0	0	0	0	0	0	0	0
Kyle Orton	DAL	0	0	0	0	0	0	0	0	0	0
Dan Orlovsky	TB	0	0	0	0	0	0	0	0	0	0
Matt Leinart	OAK	0	0	0	0	0	0	0	0	0	0
Matthew Stafford	DET	0	0	0	0	0	0	0	0	0	0
Josh Freeman	TB	0	0	0	0	0	0	0	0	0	0
John Skelton	ARI	0	0	0	0	0	0	0	0	0	0
Greg McElroy	NYJ	0	0	0	0	0	0	0	0	0	0
Tyler Thigpen	BUF	0	0	0	0	0	0	0	0	0	0
