PLAYER	TEAM	FP	COMP	ATT	CMP%	PASSYD	PASSTD	INT	RUSHYD	RUSHTD	FUML
Aaron Rodgers	GB	23.9	22.7	31.7	0.717	278	2.93	0.52	16	0.14	0.18
Cam Newton	CAR	21.5	22.2	39.4	0.565	270	1.15	1.03	49	0.59	0.14
Drew Brees	NO	21.4	28.8	38.1	0.755	312	2.63	0.94	4	0.04	0.14
Tom Brady	NE	19.2	23.3	35	0.665	278	2.13	0.66	6	0.1	0.16
Matt Ryan	ATL	18.7	20.8	32.8	0.633	270	2.2	0.74	5	0.06	0.17
Tony Romo	DAL	18.3	24	35.2	0.683	278	2.11	0.67	3	0.04	0.23
Robert Griffin III	WAS	17.8	20	34.3	0.582	258	1.37	1.15	33	0.32	0.46
Michael Vick	PHI	17.4	19.3	34	0.568	235	1.26	1.11	46	0.28	0.56
Matthew Stafford	DET	17	24.1	36.6	0.658	251	2.11	0.98	5	0.05	0.16
Eli Manning	NYG	16.2	21.1	35.1	0.601	266	2.04	1.13	1	0.02	0.3
Philip Rivers	SD	16.2	19.5	33.3	0.585	252	2.1	1.05	2	0.02	0.27
Alex Smith	SF	15.5	14.9	25.7	0.579	201	1.52	0.42	18	0.16	0.25
Jake Locker	TEN	15.5	18	31.4	0.573	217	1.32	0.87	18	0.26	0.05
Joe Flacco	BAL	15.2	21	36.4	0.578	259	1.61	0.7	4	0.04	0.39
Jay Cutler	CHI	15.1	21.7	35.2	0.615	264	1.38	0.71	9	0.07	0.46
Andrew Luck	IND	14.6	20.8	34.1	0.609	240	1.33	0.91	14	0.12	0.34
Peyton Manning	DEN	14.5	20.5	32.1	0.641	267	1.46	0.93	0	0.02	0.13
Josh Freeman	TB	14.5	21.3	36.4	0.584	255	1.22	1.24	18	0.12	0.32
Ben Roethlisberger	PIT	14.3	19.2	31.8	0.603	239	1.38	0.64	8	0.06	0.33
Matt Schaub	HOU	14.3	21.3	30.7	0.695	224	1.59	0.46	1	0.01	0.12
Russell Wilson	SEA	14.1	15.1	26.1	0.579	189	1.07	0.79	29	0.29	0.39
Matt Cassel	KC	11.3	17.5	31	0.563	199	1.01	0.79	10	0.06	0.24
Andy Dalton	CIN	11.3	19.3	34.6	0.558	219	0.8	0.92	11	0.07	0.19
Sam Bradford	STL	11.2	22	37.4	0.587	243	0.94	0.89	2	0.02	0.41
Ryan Fitzpatrick	BUF	10.6	18.2	33.7	0.54	188	1.07	1.29	15	0.08	0.29
Mark Sanchez	NYJ	10.4	16.5	31.1	0.531	186	1.12	1.2	9	0.1	0.32
Carson Palmer	OAK	9.8	18.4	32.3	0.568	214	1.05	1.52	3	0.02	0.2
Ryan Tannehill	MIA	9.3	18.4	33.9	0.544	199	0.84	1.39	10	0.09	0.35
John Skelton	ARI	8.9	16.9	35.5	0.476	214	0.77	1.62	9	0.04	0.33
Blaine Gabbert	JAC	8.9	17.6	30	0.587	182	0.79	0.68	7	0.03	0.54
Brandon Weeden	CLE	8.7	18.1	33.3	0.543	197	0.72	0.98	3	0.03	0.28
Joe Webb	MIN	7.5	9.8	18.2	0.54	104	0.48	0.84	19	0.21	0.09
Christian Ponder	MIN	6.1	9.5	18.1	0.521	101	0.56	0.84	15	0.07	0.2
Tim Tebow	NYJ	3.3	1.2	3	0.408	14	0.07	0.1	20	0.16	0.13
Dan Orlovsky	TB	0.8	1.4	2.4	0.576	17	0.08	0.05	0	0	0.04
Matt Leinart	OAK	0.6	1.2	1.8	0.624	14	0.06	0.06	0	0	0.02
Matt Hasselbeck	TEN	0.5	0.7	1.1	0.649	9	0.05	0.04	0	0	0
Kevin Kolb	ARI	0.5	1	1.8	0.535	13	0.05	0.06	0	0	0.03
Nick Foles	PHI	0.5	1	1.8	0.541	11	0.05	0.07	0	0	0.01
Chad Henne	JAC	0.4	0.7	1.1	0.635	7	0.04	0.04	1	0	0.01
Kyle Orton	DAL	0.3	0.5	0.8	0.625	5	0.03	0.02	0	0	0
Matt Flynn	SEA	0.3	0.5	0.8	0.627	7	0.04	0.04	0	0	0
Tarvaris Jackson	BUF	0.2	0.3	0.7	0.52	3	0.02	0.02	0	0	0.01
Matt Moore	MIA	0.2	0.5	0.9	0.561	6	0.02	0.04	0	0	0.02
Caleb Hanie	DEN	0.2	0.4	0.9	0.473	6	0.02	0.06	0	0	0
Ryan Mallett	NE	0.2	0.2	0.4	0.576	3	0.02	0.01	0	0	0
David Carr	NYG	0.1	0.3	0.5	0.562	3	0.02	0.02	0	0	0
Shaun Hill	DET	0.1	0.2	0.3	0.675	2	0.01	0.01	0	0	0
Rex Grossman	WAS	0.1	0.1	0.2	0.584	2	0.01	0.01	0	0	0
Jason Campbell	CHI	0.1	0.2	0.2	0.634	2	0.01	0.01	0	0	0
Derek Anderson	CAR	0.1	0.2	0.4	0.472	2	0	0.01	0	0	0
Charlie Whitehurst	SD	0.1	0.2	0.4	0.443	2	0.01	0.01	0	0	0
Bruce Gradkowski	CIN	0.1	0.2	0.6	0.429	3	0	0.02	0	0	0
Drew Stanton	IND	0.1	0.2	0.3	0.524	2	0.01	0.01	0	0	0
Chase Daniel	NO	0.1	0.2	0.2	0.783	2	0.01	0	0	0	0
Colt McCoy	CLE	0.1	0.2	0.3	0.528	2	0.01	0	0	0	0
