PLAYER	TEAM	FP	FGM	FGA	FG0-39	FG40-49	FG50	XPM	XPA
Stephen Gostkowski	NE	11.1	2.36	2.79	1.54	0.58	0.24	3.27	3.32
Garrett Hartley	NO	11	2.13	2.4	1.35	0.6	0.18	4.02	4.08
Mason Crosby	GB	10.4	2.04	2.5	1.38	0.48	0.18	3.74	3.79
Adam Vinatieri	IND	9.4	2.08	2.32	1.23	0.64	0.21	2.5	2.54
Lawrence Tynes	NYG	9.1	1.79	2.4	1.3	0.35	0.13	3.31	3.36
Robbie Gould	CHI	9	1.87	2.25	1.29	0.45	0.13	2.99	3.04
Sebastian Janikowski	OAK	8.9	1.94	2.32	1.27	0.48	0.19	2.46	2.49
Rian Lindell	BUF	8.9	1.81	2.2	1.1	0.48	0.23	2.79	2.83
Dan Bailey	DAL	8.8	1.78	2.11	1.13	0.49	0.16	3.04	3.09
David Akers	SF	8.5	1.7	2.06	1.12	0.43	0.15	3	3.05
Connor Barth	TB	8.4	1.8	2.03	1.2	0.45	0.15	2.52	2.56
Justin Medlock	CAR	8.4	1.64	2.02	1.12	0.38	0.14	3.03	3.07
Shaun Suisham	PIT	7.9	1.8	2.17	1.22	0.44	0.14	2.1	2.13
Jason Hanson	DET	7.8	1.44	1.75	0.92	0.4	0.12	3.1	3.15
Shayne Graham	HOU	7.8	1.65	1.97	1.06	0.46	0.14	2.41	2.44
Blair Walsh	MIN	7.8	1.67	2.16	1.18	0.36	0.13	2.44	2.47
Jay Feely	ARI	7.7	1.66	2.03	1.06	0.43	0.17	2.18	2.21
Rob Bironas	TEN	7.7	1.61	1.83	0.91	0.51	0.18	2.33	2.37
Justin Tucker	BAL	7.6	1.59	1.97	1.05	0.38	0.15	2.35	2.39
Billy Cundiff	WAS	7.4	1.63	2.03	1.12	0.38	0.12	2.11	2.14
Phil Dawson	CLE	7.3	1.66	1.93	0.98	0.49	0.18	1.78	1.81
Steve Hauschka	SEA	7.3	1.63	1.89	1.05	0.41	0.17	1.92	1.95
Mike Nugent	CIN	7.2	1.65	1.94	1.05	0.46	0.15	1.85	1.88
Greg Zuerlein	STL	7	1.5	1.81	1.07	0.32	0.11	2.17	2.2
Josh Scobee	JAC	6.7	1.49	1.68	0.88	0.44	0.17	1.66	1.69
Nick Folk	NYJ	6.3	1.27	1.64	0.84	0.32	0.11	2.17	2.21
John Kasay	NO	0	0	0	0	0	0	0	0
Olindo Mare	CAR	0	0	0	0	0	0	0	0
Ryan Longwell	MIN	0	0	0	0	0	0	0	0
Neil Rackers	WAS	0	0	0	0	0	0	0	0
Matt Bryant	ATL	0	0	0	0	0	0	0	0
Josh Brown	NYJ	0	0	0	0	0	0	0	0
Nate Kaeding	SD	0	0	0	0	0	0	0	0
Nick Novak	SD	0	0	0	0	0	0	0	0
Rhys Lloyd	NYG	0	0	0	0	0	0	0	0
Matt Prater	DEN	0	0	0	0	0	0	0	0
Brandon Coutu	JAC	0	0	0	0	0	0	0	0
Dan Carpenter	MIA	0	0	0	0	0	0	0	0
David Buehler	DAL	0	0	0	0	0	0	0	0
Ryan Succop	KC	0	0	0	0	0	0	0	0
Graham Gano	WAS	0	0	0	0	0	0	0	0
Alex Henery	PHI	0	0	0	0	0	0	0	0
Randy Bullock	HOU	0	0	0	0	0	0	0	0
John Potter	BUF	0	0	0	0	0	0	0	0
