PLAYER	TEAM	FP	FGM	FGA	FG0-39	FG40-49	FG50	XPM	XPA
Garrett Hartley	NO	10.9	2.18	2.45	1.37	0.61	0.2	3.72	3.77
Stephen Gostkowski	NE	10.5	2.06	2.39	1.41	0.49	0.17	3.85	3.91
David Akers	SF	10	2.12	2.52	1.35	0.56	0.22	2.99	3.03
Nate Kaeding	SD	9.5	1.93	2.2	1.22	0.56	0.15	3.29	3.34
Jason Hanson	DET	9.3	1.79	2.14	1.13	0.49	0.17	3.47	3.52
Alex Henery	PHI	9	1.79	2.04	1.19	0.44	0.15	3.21	3.26
Justin Tucker	BAL	9	1.85	2.24	1.2	0.5	0.16	2.99	3.04
Shaun Suisham	PIT	8.9	1.83	2.25	1.17	0.48	0.18	2.82	2.86
Matt Bryant	ATL	8.7	1.75	1.93	1.07	0.53	0.15	3	3.04
Mike Nugent	CIN	8.7	1.91	2.21	1.27	0.48	0.16	2.48	2.52
Justin Medlock	CAR	8.7	1.78	2.19	1.21	0.42	0.15	2.89	2.93
Steve Hauschka	SEA	8.5	1.8	2.24	1.06	0.51	0.22	2.48	2.51
Dan Carpenter	MIA	8.4	1.89	2.27	1.22	0.5	0.18	2.22	2.25
Matt Prater	DEN	8.3	1.62	2.03	1.07	0.39	0.16	2.96	3.01
Dan Bailey	DAL	8.3	1.64	1.94	1.07	0.42	0.14	2.99	3.04
Connor Barth	TB	8.1	1.69	1.94	1.06	0.48	0.15	2.55	2.59
Josh Scobee	JAC	8	1.86	2.14	1.14	0.52	0.2	1.82	1.85
Robbie Gould	CHI	7.9	1.71	2.09	1.13	0.44	0.15	2.31	2.34
Blair Walsh	MIN	7.9	1.59	1.9	1.05	0.42	0.13	2.74	2.78
Shayne Graham	HOU	7.8	1.7	2.13	1.15	0.41	0.14	2.22	2.26
Lawrence Tynes	NYG	7.8	1.5	1.99	1.06	0.31	0.13	2.9	2.95
Adam Vinatieri	IND	7.5	1.69	1.92	0.99	0.52	0.18	1.92	1.95
Rian Lindell	BUF	7	1.4	1.65	0.88	0.39	0.13	2.4	2.43
Nick Folk	NYJ	6.9	1.46	1.91	0.94	0.37	0.16	2.01	2.04
Sebastian Janikowski	OAK	6.7	1.62	1.88	1.1	0.41	0.11	1.52	1.54
Rob Bironas	TEN	6.7	1.57	1.82	0.92	0.5	0.15	1.57	1.6
Ryan Succop	KC	6	1.4	1.74	0.93	0.36	0.11	1.48	1.51
Greg Zuerlein	STL	5.6	1.3	1.63	0.91	0.29	0.1	1.37	1.39
John Kasay	NO	0	0	0	0	0	0	0	0
Olindo Mare	CAR	0	0	0	0	0	0	0	0
Ryan Longwell	MIN	0	0	0	0	0	0	0	0
Phil Dawson	CLE	0	0	0	0	0	0	0	0
Jay Feely	ARI	0	0	0	0	0	0	0	0
Billy Cundiff	WAS	0	0	0	0	0	0	0	0
Josh Brown	NYJ	0	0	0	0	0	0	0	0
Nick Novak	SD	0	0	0	0	0	0	0	0
Mason Crosby	GB	0	0	0	0	0	0	0	0
Rhys Lloyd	NYG	0	0	0	0	0	0	0	0
Brandon Coutu	JAC	0	0	0	0	0	0	0	0
David Buehler	DAL	0	0	0	0	0	0	0	0
Graham Gano	WAS	0	0	0	0	0	0	0	0
Randy Bullock	HOU	0	0	0	0	0	0	0	0
John Potter	BUF	0	0	0	0	0	0	0	0
