PLAYER	TEAM	FP	COMP	ATT	CMP%	PASSYD	PASSTD	INT	RUSHYD	RUSHTD	FUML
Aaron Rodgers	GB	25.6	23.8	32	0.743	302	2.95	0.62	20	0.19	0.1
Drew Brees	NO	21.4	29.2	43.5	0.67	331	2.41	0.86	3	0.03	0.15
Peyton Manning	DEN	20.3	22.5	34.5	0.651	305	2.4	0.73	0	0.02	0.09
Tony Romo	DAL	20.3	24.9	36.4	0.683	303	2.52	0.89	3	0.03	0.25
Matthew Stafford	DET	19.4	23.5	37.8	0.623	294	2.29	1	5	0.04	0.15
Eli Manning	NYG	19.2	22	36.3	0.606	308	2.26	0.97	1	0.03	0.27
Michael Vick	PHI	18.9	21.7	35.7	0.61	265	1.2	1.5	51	0.4	0.52
Tom Brady	NE	18	21.1	32.7	0.644	257	2.09	0.75	6	0.1	0.16
Cam Newton	CAR	17.4	20.8	34.7	0.6	221	0.97	1.25	45	0.5	0.17
Ben Roethlisberger	PIT	16.9	20.8	33.2	0.628	276	1.7	0.72	8	0.05	0.29
Matt Ryan	ATL	16.8	22	38.7	0.569	266	1.84	0.95	7	0.06	0.15
Jake Locker	TEN	16	22.2	34.9	0.634	241	1.21	0.75	20	0.23	0.16
Philip Rivers	SD	15.5	19.5	32.6	0.597	248	1.98	1.05	2	0.02	0.32
Josh Freeman	TB	15.4	19.8	31.8	0.621	236	1.46	0.8	16	0.12	0.3
Robert Griffin III	WAS	15.3	19.3	35.5	0.543	222	0.94	0.9	38	0.27	0.48
Russell Wilson	SEA	15.2	19.7	32.1	0.615	231	1.36	0.95	22	0.18	0.38
Christian Ponder	MIN	13.7	18.9	31.2	0.605	225	1.29	1.04	16	0.09	0.29
Andrew Luck	IND	13.6	22.6	35.5	0.638	229	1.19	0.87	13	0.1	0.24
Sam Bradford	STL	13.1	24.6	38.5	0.639	264	1.16	0.88	4	0.03	0.49
Jay Cutler	CHI	12.8	19.2	31.3	0.613	222	1.21	0.82	9	0.08	0.28
Alex Smith	SF	12	16.9	29.5	0.571	206	0.92	0.48	11	0.09	0.3
Mark Sanchez	NYJ	11.1	16.5	30.4	0.541	191	0.96	0.79	10	0.14	0.34
Brandon Weeden	CLE	11.1	21.3	37.2	0.574	228	1.06	1.33	5	0.06	0.21
Matt Cassel	KC	11	16.6	30.7	0.54	191	1.03	0.85	12	0.05	0.28
Carson Palmer	OAK	10.5	18.2	33	0.552	213	1.05	1.28	4	0.04	0.15
Blaine Gabbert	JAC	9.3	16.4	32.2	0.508	203	0.91	0.99	7	0.03	0.66
Ryan Tannehill	MIA	7.3	15.3	31.9	0.48	164	0.58	1.27	10	0.09	0.3
Kevin Kolb	ARI	5.9	10.3	17.7	0.579	125	0.52	0.52	5	0.03	0.39
John Skelton	ARI	4.9	8.4	16.4	0.512	104	0.38	0.58	5	0.03	0.16
Tim Tebow	NYJ	2.4	0.6	1.5	0.404	7	0.04	0.03	15	0.13	0.08
Nick Foles	PHI	0.7	1.2	2	0.603	14	0.06	0.08	0	0	0.02
Matt Leinart	OAK	0.5	0.9	1.6	0.556	10	0.05	0.05	0	0	0.01
Matt Hasselbeck	TEN	0.4	0.7	1	0.692	8	0.04	0.02	0	0	0
Kyle Orton	DAL	0.3	0.6	0.9	0.597	6	0.04	0.03	0	0	0
Chad Henne	JAC	0.3	0.4	0.7	0.55	5	0.03	0.03	0	0	0.01
Matt Flynn	SEA	0.3	0.6	0.9	0.65	6	0.03	0.03	0	0	0
Shaun Hill	DET	0.2	0.3	0.5	0.609	3	0.02	0.01	0	0	0
Jason Campbell	CHI	0.2	0.2	0.4	0.63	3	0.02	0.02	0	0	0.01
Drew Stanton	IND	0.2	0.2	0.3	0.635	2	0.01	0	0	0	0
Matt Moore	MIA	0.2	0.4	0.8	0.51	4	0.02	0.03	0	0	0.02
Caleb Hanie	DEN	0.2	0.2	0.4	0.477	3	0.01	0.02	0	0	0
Chase Daniel	NO	0.2	0.3	0.4	0.748	3	0.02	0.01	0	0	0
Austin Davis	STL	0.2	0.4	0.7	0.597	4	0.02	0.03	0	0	0
Luke McCown	ATL	0.2	0.3	0.8	0.454	4	0.02	0.04	0	0	0.01
David Carr	NYG	0.1	0.2	0.3	0.527	2	0.01	0.01	0	0	0
Rex Grossman	WAS	0.1	0.1	0.3	0.494	1	0	0	0	0	0
Dan Orlovsky	TB	0.1	0.2	0.3	0.619	3	0.02	0	0	0	0.01
Derek Anderson	CAR	0.1	0.1	0.3	0.493	1	0.01	0.01	0	0	0
Charlie Whitehurst	SD	0.1	0.2	0.4	0.495	3	0.01	0.01	0	0	0.01
Brady Quinn	KC	0.1	0.1	0.2	0.561	2	0.01	0.01	0	0	0
Colt McCoy	CLE	0.1	0.2	0.3	0.535	2	0.01	0	0	0	0
Joe Webb	MIN	0.1	0.2	0.4	0.564	2	0.01	0.01	0	0	0
Colin Kaepernick	SF	0.1	0.1	0.2	0.519	1	0.01	0.01	0	0	0
Ryan Mallett	NE	0.1	0.2	0.4	0.496	2	0.01	0.01	0	0	0
Graham Harrell	GB	0.1	0.1	0.2	0.677	1	0	0	0	0	0
Byron Leftwich	PIT	0.1	0.2	0.3	0.576	2	0.02	0.01	0	0	0
Matt Schaub	HOU	0	0	0	0	0	0	0	0	0	0
Ryan Fitzpatrick	BUF	0	0	0	0	0	0	0	0	0	0
Tarvaris Jackson	BUF	0	0	0	0	0	0	0	0	0	0
Bruce Gradkowski	CIN	0	0	0	0	0	0	0	0	0	0
Joe Flacco	BAL	0	0	0	0	0	0	0	0	0	0
Andy Dalton	CIN	0	0	0	0	0	0	0	0	0	0
T.J. Yates	HOU	0	0	0	0	0	0	0	0	0	0
Tyrod Taylor	BAL	0	0	0	0	0	0	0	0	0	0
Greg McElroy	NYJ	0	0	0	0	0	0	0	0	0	0
Tyler Thigpen	BUF	0	0	0	0	0	0	0	0	0	0
