PLAYER	TEAM	FP	FGM	FGA	FG0-39	FG40-49	FG50	XPM	XPA
Billy Cundiff	WAS	16	4	4	0	0	0	4	4
Matt Bryant	ATL	16	4	4	0	0	0	4	4
Nate Kaeding	SD	16	5	5	0	0	0	1	1
Blair Walsh	MIN	14	4	4	0	0	0	2	2
Justin Tucker	BAL	14	3	3	0	0	0	5	5
David Akers	SF	12	3	3	0	0	0	3	3
Shayne Graham	HOU	12	3	4	0	0	0	3	3
Nick Folk	NYJ	12	2	2	0	0	0	6	6
Robbie Gould	CHI	11	2	2	0	0	0	5	5
Greg Zuerlein	STL	11	3	3	0	0	0	2	2
Phil Dawson	CLE	10	3	3	0	0	0	1	1
Stephen Gostkowski	NE	10	2	2	0	0	0	4	4
Steve Hauschka	SEA	10	3	4	0	0	0	1	1
Connor Barth	TB	10	3	3	0	0	0	1	1
Jason Hanson	DET	9	2	2	0	0	0	3	3
Josh Scobee	JAC	9	3	3	0	0	0	0	1
Jay Feely	ARI	8	2	2	0	0	0	2	2
Mike Nugent	CIN	7	2	2	0	0	0	1	1
Rob Bironas	TEN	7	2	2	0	0	0	1	1
Shaun Suisham	PIT	7	2	2	0	0	0	1	1
Sebastian Janikowski	OAK	6	2	2	0	0	0	0	0
Garrett Hartley	NO	6	1	1	0	0	0	3	3
Ryan Succop	KC	6	1	2	0	0	0	3	3
Dan Bailey	DAL	6	1	1	0	0	0	3	3
Lawrence Tynes	NYG	5	1	1	0	0	0	2	2
Matt Prater	DEN	5	1	1	0	0	0	2	2
Alex Henery	PHI	5	1	2	0	0	0	2	2
Rian Lindell	BUF	4	0	0	0	0	0	4	4
Dan Carpenter	MIA	4	1	1	0	0	0	1	1
Justin Medlock	CAR	4	1	1	0	0	0	1	1
Adam Vinatieri	IND	3	0	1	0	0	0	3	3
Mason Crosby	GB	2	0	0	0	0	0	2	2
John Kasay	NO	0	0	0	0	0	0	0	0
Olindo Mare	CAR	0	0	0	0	0	0	0	0
Ryan Longwell	MIN	0	0	0	0	0	0	0	0
Josh Brown	NYJ	0	0	0	0	0	0	0	0
Nick Novak	SD	0	0	0	0	0	0	0	0
Rhys Lloyd	NYG	0	0	0	0	0	0	0	0
Brandon Coutu	JAC	0	0	0	0	0	0	0	0
David Buehler	DAL	0	0	0	0	0	0	0	0
Graham Gano	WAS	0	0	0	0	0	0	0	0
Randy Bullock	HOU	0	0	0	0	0	0	0	0
John Potter	BUF	0	0	0	0	0	0	0	0
