PLAYER	TEAM	FP	COMP	ATT	CMP%	PASSYD	PASSTD	INT	RUSHYD	RUSHTD	FUML
Aaron Rodgers	GB	23.3	23.6	34.8	0.678	281	2.68	0.74	21	0.17	0.14
Drew Brees	NO	23.1	26.6	36.2	0.736	323	2.95	1	4	0.03	0.12
Cam Newton	CAR	19.6	21.5	37.2	0.579	262	1.32	1.36	41	0.45	0.15
Tom Brady	NE	19.4	23.9	35.7	0.669	298	2.09	0.78	5	0.08	0.18
Michael Vick	PHI	19.3	19.9	33.7	0.592	233	1.08	0.8	56	0.44	0.48
Peyton Manning	DEN	19.1	20.7	33	0.629	291	2.27	0.77	0	0.02	0.14
Matthew Stafford	DET	18.9	23.2	38	0.611	293	2.13	0.78	5	0.04	0.2
Joe Flacco	BAL	18.4	22.1	36	0.614	280	2.05	0.57	5	0.05	0.35
Matt Ryan	ATL	17.7	22.4	36.4	0.614	279	1.95	0.87	6	0.05	0.17
Eli Manning	NYG	17.4	23.5	38.7	0.606	301	2	1.14	1	0.02	0.25
Philip Rivers	SD	17.1	21.8	32.9	0.662	267	2.12	0.99	2	0.02	0.26
Tony Romo	DAL	16.7	22.8	34.6	0.658	265	1.88	0.69	3	0.02	0.22
Josh Freeman	TB	16	21.4	38.1	0.56	262	1.23	0.97	22	0.17	0.31
Ben Roethlisberger	PIT	15.1	20.8	34.6	0.6	274	1.43	0.88	6	0.05	0.38
Jay Cutler	CHI	15.1	20.2	34.9	0.577	258	1.44	1.02	12	0.12	0.43
Andrew Luck	IND	14.1	21.3	36.5	0.583	248	1.3	1.05	12	0.1	0.34
Ryan Fitzpatrick	BUF	14	20.4	33.8	0.605	222	1.5	1.28	17	0.08	0.27
Sam Bradford	STL	13.9	23.9	35.6	0.671	251	1.34	0.42	2	0.02	0.49
Matt Schaub	HOU	13.6	20.4	28.5	0.714	210	1.52	0.4	1	0.02	0.17
Robert Griffin III	WAS	13.6	17.9	33.7	0.531	212	0.98	1.04	28	0.23	0.46
John Skelton	ARI	13.2	20.2	36.1	0.559	248	1.16	1.31	14	0.08	0.26
Jake Locker	TEN	13.2	15.4	32.5	0.474	191	0.87	0.92	22	0.3	0.05
Andy Dalton	CIN	13.2	20.1	36.1	0.557	232	1.25	1.08	12	0.06	0.22
Alex Smith	SF	13	19.9	34.5	0.576	232	1.14	0.8	10	0.07	0.3
Russell Wilson	SEA	12.7	18	31.8	0.566	206	1.07	1.29	24	0.19	0.4
Brandon Weeden	CLE	11.2	19.9	32.6	0.61	224	0.96	1.04	5	0.07	0.25
Mark Sanchez	NYJ	11	18.4	31.9	0.576	197	0.99	0.82	8	0.1	0.3
Matt Cassel	KC	10.7	15.9	30.9	0.514	184	1.03	0.8	11	0.05	0.28
Ryan Tannehill	MIA	9.6	17.8	29.4	0.606	172	0.88	1.14	13	0.13	0.27
Joe Webb	MIN	9.2	8.6	16	0.534	97	0.51	0.47	26	0.3	0.08
Carson Palmer	OAK	8.9	16.7	30.2	0.553	195	0.9	1.36	3	0.03	0.15
Blaine Gabbert	JAC	6.8	15.3	28.7	0.533	165	0.56	0.67	4	0.03	0.66
Christian Ponder	MIN	4.6	7	13.9	0.506	82	0.43	0.5	7	0.04	0.15
Tim Tebow	NYJ	3.3	1.4	3.1	0.465	15	0.08	0.06	19	0.15	0.14
Dan Orlovsky	TB	0.7	1.2	2	0.578	14	0.07	0.03	0	0	0.03
Kevin Kolb	ARI	0.5	0.9	1.5	0.611	12	0.04	0.04	0	0	0.03
Nick Foles	PHI	0.5	0.8	1.5	0.548	9	0.04	0.05	0	0	0.01
Matt Leinart	OAK	0.4	0.8	1.3	0.574	9	0.03	0.05	0	0	0.02
Matt Hasselbeck	TEN	0.3	0.6	1.1	0.526	6	0.02	0.04	0	0	0.01
Kyle Orton	DAL	0.3	0.5	0.9	0.535	6	0.02	0.02	0	0	0
Matt Moore	MIA	0.3	0.6	1	0.637	6	0.04	0.03	0	0	0.02
Matt Flynn	SEA	0.3	0.5	0.8	0.591	5	0.03	0.03	0	0	0.01
Shaun Hill	DET	0.2	0.2	0.4	0.59	3	0.01	0.01	0	0	0
Jason Campbell	CHI	0.2	0.2	0.4	0.574	3	0.02	0.02	0	0	0
