PLAYER	TEAM	FP	FGM	FGA	FG0-39	FG40-49	FG50	XPM	XPA
Stephen Gostkowski	NE	10.6	2.28	2.7	1.56	0.55	0.18	3.22	3.26
Mason Crosby	GB	10.6	1.93	2.33	1.18	0.49	0.26	4.02	4.08
Nate Kaeding	SD	10.1	2.18	2.51	1.4	0.6	0.18	2.99	3.03
Garrett Hartley	NO	10.1	2.06	2.31	1.32	0.56	0.2	3.32	3.37
Shaun Suisham	PIT	9.6	2.08	2.53	1.43	0.49	0.16	2.94	2.99
Alex Henery	PHI	9.6	2.1	2.43	1.46	0.49	0.15	2.9	2.94
Dan Bailey	DAL	9.3	1.87	2.2	1.2	0.51	0.16	3.22	3.27
Jason Hanson	DET	9.1	1.74	2.07	1.11	0.47	0.16	3.35	3.4
Matt Prater	DEN	9.1	1.69	2.08	1.18	0.34	0.17	3.48	3.53
Robbie Gould	CHI	8.7	1.8	2.22	1.14	0.46	0.2	2.67	2.71
Connor Barth	TB	8.7	1.9	2.17	1.12	0.61	0.18	2.42	2.46
David Akers	SF	8.6	2.02	2.42	1.32	0.53	0.18	2	2.03
Matt Bryant	ATL	8.5	1.76	1.98	1.05	0.52	0.18	2.69	2.73
Rob Bironas	TEN	8.3	1.87	2.11	1.13	0.54	0.19	2.14	2.17
Blair Walsh	MIN	8.1	1.6	1.95	1.05	0.41	0.14	2.91	2.95
Adam Vinatieri	IND	8	1.82	2.04	1.13	0.51	0.18	2.04	2.07
Steve Hauschka	SEA	8	1.68	2.02	1.09	0.46	0.12	2.59	2.63
Sebastian Janikowski	OAK	7.9	1.77	2.12	1.17	0.46	0.14	2.13	2.16
Lawrence Tynes	NYG	7.7	1.42	1.88	1.02	0.28	0.12	3.07	3.12
Ryan Succop	KC	7.6	1.61	1.97	1.08	0.4	0.12	2.35	2.38
Dan Carpenter	MIA	7.5	1.82	2.11	1.16	0.49	0.18	1.56	1.58
Justin Medlock	CAR	7.4	1.54	1.91	1.04	0.35	0.16	2.26	2.3
Phil Dawson	CLE	7.3	1.59	1.83	0.91	0.51	0.17	2.05	2.08
Nick Folk	NYJ	7.1	1.47	1.88	0.97	0.36	0.14	2.23	2.26
Jay Feely	ARI	6.8	1.53	1.86	0.99	0.39	0.15	1.77	1.8
Greg Zuerlein	STL	6.6	1.46	1.83	1.04	0.33	0.1	1.94	1.97
Billy Cundiff	WAS	6.4	1.46	1.91	1	0.38	0.09	1.72	1.75
Josh Scobee	JAC	6.2	1.38	1.55	0.88	0.38	0.12	1.66	1.69
John Kasay	NO	0	0	0	0	0	0	0	0
Olindo Mare	CAR	0	0	0	0	0	0	0	0
Ryan Longwell	MIN	0	0	0	0	0	0	0	0
Rian Lindell	BUF	0	0	0	0	0	0	0	0
Shayne Graham	HOU	0	0	0	0	0	0	0	0
Josh Brown	NYJ	0	0	0	0	0	0	0	0
Mike Nugent	CIN	0	0	0	0	0	0	0	0
Nick Novak	SD	0	0	0	0	0	0	0	0
Rhys Lloyd	NYG	0	0	0	0	0	0	0	0
Brandon Coutu	JAC	0	0	0	0	0	0	0	0
David Buehler	DAL	0	0	0	0	0	0	0	0
Graham Gano	WAS	0	0	0	0	0	0	0	0
Randy Bullock	HOU	0	0	0	0	0	0	0	0
John Potter	BUF	0	0	0	0	0	0	0	0
Justin Tucker	BAL	0	0	0	0	0	0	0	0
