PLAYER	TEAM	FP	FGM	FGA	FG0-39	FG40-49	FG50	XPM	XPA
Alex Henery	PHI	10.9	2.31	2.69	1.51	0.57	0.23	3.3	3.35
Mason Crosby	GB	10.4	1.88	2.22	1.32	0.42	0.14	4.39	4.45
Matt Bryant	ATL	10.3	2.21	2.44	1.42	0.61	0.19	3.14	3.19
Stephen Gostkowski	NE	10.3	2.02	2.4	1.35	0.51	0.15	3.84	3.9
Dan Bailey	DAL	10	2.16	2.54	1.45	0.53	0.18	3.01	3.06
Garrett Hartley	NO	9.7	1.95	2.21	1.15	0.59	0.22	3.24	3.28
Nate Kaeding	SD	9.5	1.98	2.26	1.26	0.56	0.16	3.11	3.16
Justin Medlock	CAR	8.9	1.75	2.16	1.18	0.4	0.18	3.15	3.2
Shayne Graham	HOU	8.8	1.86	2.3	1.21	0.48	0.17	2.67	2.71
Nick Folk	NYJ	8.8	1.9	2.46	1.26	0.44	0.19	2.52	2.56
Sebastian Janikowski	OAK	8.6	1.94	2.28	1.27	0.53	0.14	2.32	2.35
Jason Hanson	DET	8.5	1.49	1.76	0.92	0.43	0.14	3.57	3.63
Mike Nugent	CIN	8.5	1.93	2.25	1.23	0.52	0.18	2.21	2.24
Matt Prater	DEN	8.3	1.52	1.91	1.01	0.36	0.14	3.26	3.31
Ryan Succop	KC	8.2	1.78	2.17	1.22	0.42	0.14	2.48	2.52
Billy Cundiff	WAS	8	1.64	2	1.08	0.43	0.12	2.72	2.76
Connor Barth	TB	8	1.78	2	1.15	0.48	0.14	2.22	2.26
Rian Lindell	BUF	7.7	1.57	1.9	0.97	0.43	0.18	2.41	2.45
David Akers	SF	7.6	1.48	1.83	0.88	0.43	0.18	2.6	2.64
Shaun Suisham	PIT	7.6	1.64	2.04	1.1	0.43	0.12	2.29	2.33
Dan Carpenter	MIA	7.6	1.7	2.02	1.06	0.46	0.18	1.94	1.97
Justin Tucker	BAL	7.6	1.64	1.98	1.02	0.46	0.17	2.15	2.18
Jay Feely	ARI	7.1	1.55	1.88	1.01	0.37	0.16	1.96	1.99
Adam Vinatieri	IND	7	1.54	1.74	0.95	0.46	0.13	1.93	1.96
Phil Dawson	CLE	7	1.57	1.78	0.95	0.49	0.13	1.93	1.96
Robbie Gould	CHI	7	1.58	1.86	1	0.44	0.14	1.84	1.87
Greg Zuerlein	STL	7	1.58	1.99	1.05	0.4	0.14	1.81	1.84
Josh Scobee	JAC	6.6	1.56	1.79	0.97	0.42	0.17	1.4	1.43
John Kasay	NO	0	0	0	0	0	0	0	0
Olindo Mare	CAR	0	0	0	0	0	0	0	0
Ryan Longwell	MIN	0	0	0	0	0	0	0	0
Josh Brown	NYJ	0	0	0	0	0	0	0	0
Lawrence Tynes	NYG	0	0	0	0	0	0	0	0
Rob Bironas	TEN	0	0	0	0	0	0	0	0
Nick Novak	SD	0	0	0	0	0	0	0	0
Rhys Lloyd	NYG	0	0	0	0	0	0	0	0
Brandon Coutu	JAC	0	0	0	0	0	0	0	0
Steve Hauschka	SEA	0	0	0	0	0	0	0	0
David Buehler	DAL	0	0	0	0	0	0	0	0
Graham Gano	WAS	0	0	0	0	0	0	0	0
Randy Bullock	HOU	0	0	0	0	0	0	0	0
Blair Walsh	MIN	0	0	0	0	0	0	0	0
John Potter	BUF	0	0	0	0	0	0	0	0
