PLAYER	TEAM	FP	FGM	FGA	FG0-39	FG40-49	FG50	XPM	XPA
Mason Crosby	GB	11.1	1.96	2.42	1.21	0.48	0.26	4.4	4.46
Garrett Hartley	NO	10.6	2.22	2.47	1.37	0.65	0.2	3.3	3.35
David Akers	SF	9.8	2.25	2.66	1.4	0.62	0.23	2.33	2.36
Nate Kaeding	SD	9.7	1.94	2.23	1.24	0.51	0.19	3.38	3.43
Sebastian Janikowski	OAK	9.3	2.19	2.61	1.46	0.56	0.17	2.25	2.29
Matt Bryant	ATL	9.3	1.8	2.01	1.04	0.54	0.21	3.3	3.35
Dan Bailey	DAL	9.3	1.78	2.1	1.14	0.48	0.16	3.45	3.5
Jason Hanson	DET	9.1	1.68	2	1.06	0.48	0.14	3.57	3.62
Stephen Gostkowski	NE	9.1	1.94	2.29	1.24	0.55	0.16	2.81	2.85
Matt Prater	DEN	8.9	1.69	2.07	1.14	0.39	0.15	3.38	3.43
Shayne Graham	HOU	8.8	1.94	2.33	1.38	0.42	0.14	2.59	2.62
Lawrence Tynes	NYG	8.8	1.74	2.29	1.22	0.37	0.15	3.13	3.18
Nick Folk	NYJ	8.7	1.89	2.41	1.31	0.42	0.16	2.56	2.59
Alex Henery	PHI	8.7	1.73	2.05	1.11	0.44	0.18	2.99	3.03
Robbie Gould	CHI	8.5	1.86	2.26	1.19	0.48	0.19	2.36	2.39
Adam Vinatieri	IND	8.3	1.84	2.07	1.13	0.52	0.19	2.17	2.2
Justin Tucker	BAL	8.3	1.8	2.2	1.16	0.47	0.17	2.4	2.44
Rian Lindell	BUF	8.2	1.62	2	0.95	0.45	0.22	2.7	2.74
Billy Cundiff	WAS	8.2	1.74	2.1	1.21	0.4	0.13	2.65	2.69
Justin Medlock	CAR	8.1	1.7	2.08	1.18	0.37	0.15	2.57	2.61
Ryan Succop	KC	8	1.75	2.16	1.18	0.45	0.13	2.36	2.39
Mike Nugent	CIN	7.7	1.67	1.97	1.1	0.43	0.14	2.28	2.32
Connor Barth	TB	7.6	1.73	1.98	1.11	0.48	0.14	2.03	2.06
Josh Scobee	JAC	7.5	1.73	2.01	1.03	0.52	0.18	1.79	1.82
Rob Bironas	TEN	7.4	1.67	1.88	1.01	0.49	0.16	1.92	1.95
Phil Dawson	CLE	7.3	1.64	1.88	0.95	0.51	0.18	1.78	1.8
Dan Carpenter	MIA	7.1	1.57	1.88	1.01	0.42	0.14	2	2.03
Jay Feely	ARI	6.9	1.55	1.88	0.99	0.39	0.17	1.72	1.75
Shaun Suisham	PIT	6.9	1.63	1.94	1.11	0.39	0.13	1.58	1.6
Steve Hauschka	SEA	6.9	1.48	1.8	0.9	0.43	0.16	1.97	2
Greg Zuerlein	STL	6.5	1.53	1.89	1.02	0.39	0.11	1.58	1.61
Blair Walsh	MIN	6.3	1.3	1.58	0.84	0.34	0.12	2.1	2.13
John Kasay	NO	0	0	0	0	0	0	0	0
Olindo Mare	CAR	0	0	0	0	0	0	0	0
Ryan Longwell	MIN	0	0	0	0	0	0	0	0
Josh Brown	NYJ	0	0	0	0	0	0	0	0
Nick Novak	SD	0	0	0	0	0	0	0	0
Rhys Lloyd	NYG	0	0	0	0	0	0	0	0
Brandon Coutu	JAC	0	0	0	0	0	0	0	0
David Buehler	DAL	0	0	0	0	0	0	0	0
Graham Gano	WAS	0	0	0	0	0	0	0	0
Randy Bullock	HOU	0	0	0	0	0	0	0	0
John Potter	BUF	0	0	0	0	0	0	0	0
