PLAYER	TEAM	FP	RUSH	RUSHYD	YPC	RUSHTD	REC	RECYD	RECTD	FUML
Arian Foster	HOU	25.1	22.3	130	5.83	1.31	4.5	35	0.2	0.26
Ray Rice	BAL	18.9	18.6	99	5.32	0.88	3.9	33	0.14	0.19
LeSean McCoy	PHI	17.6	17.5	87	4.95	0.92	4	27	0.18	0.19
Maurice Jones-Drew	JAC	15.2	21	92	4.39	0.5	3.2	24	0.18	0.24
C.J. Spiller	BUF	14.9	14.2	74	5.22	0.58	4.2	29	0.19	0.28
Doug Martin	TB	14.8	17.5	75	4.29	0.65	3.3	29	0.16	0.19
Darren McFadden	OAK	14.3	15.8	70	4.42	0.51	3.9	34	0.2	0.16
Ryan Mathews	SD	14.3	17.5	78	4.47	0.54	3.7	31	0.12	0.26
Adrian Peterson	MIN	13.7	16	76	4.74	0.7	2.1	17	0.09	0.17
Stevan Ridley	NE	13.6	19.2	93	4.85	0.57	1.2	9	0.05	0.17
Marshawn Lynch	SEA	13.5	17.4	76	4.35	0.71	1.8	14	0.1	0.18
DeMarco Murray	DAL	13.1	18.2	82	4.51	0.43	3.6	20	0.1	0.19
Steven Jackson	STL	12.7	16.8	71	4.23	0.4	3.5	28	0.13	0.18
Ahmad Bradshaw	NYG	12.7	15.7	65	4.16	0.49	3.4	26	0.16	0.14
Darren Sproles	NO	12.5	3.6	20	5.36	0.14	6.1	57	0.36	0.17
Willis McGahee	DEN	11.8	17.4	76	4.34	0.51	1.3	8	0.14	0.19
Reggie Bush	MIA	10.9	14.6	59	4.04	0.39	3.3	24	0.09	0.18
Kevin Smith	DET	10.9	10.5	41	3.9	0.41	2.4	25	0.35	0.1
Shonn Greene	NYJ	10.7	17.1	66	3.88	0.45	1.8	13	0.06	0.16
Michael Turner	ATL	10.5	15.6	63	4.04	0.64	0.7	6	0.02	0.14
Alfred Morris	WAS	10.5	15.5	67	4.3	0.55	0.8	6	0.03	0.13
Trent Richardson	CLE	10.3	14.1	51	3.61	0.38	3	27	0.1	0.18
Jamaal Charles	KC	10.2	12.4	59	4.71	0.31	2.3	20	0.14	0.14
Frank Gore	SF	10	14.4	58	4.03	0.44	1.9	15	0.07	0.16
Chris Johnson	TEN	9.1	13.9	50	3.59	0.27	2.8	22	0.11	0.16
BenJarvus Green-Ellis	CIN	9.1	14.3	54	3.78	0.53	0.7	6	0.02	0.12
Ben Tate	HOU	8.7	9.6	54	5.62	0.42	1.2	8	0.04	0.12
Michael Bush	CHI	8.5	10.6	39	3.69	0.36	2.1	22	0.07	0.12
Jonathan Stewart	CAR	8.4	8.9	36	4.03	0.2	3.5	29	0.16	0.11
Pierre Thomas	NO	8.3	5.9	28	4.81	0.22	3.5	31	0.17	0.1
Cedric Benson	GB	7.7	12.9	49	3.82	0.34	1.1	7	0.05	0.14
DeAngelo Williams	CAR	7.3	9.2	39	4.22	0.32	1.5	12	0.08	0.11
Beanie Wells	ARI	6.9	13.3	45	3.38	0.34	0.7	5	0.02	0.12
Peyton Hillis	KC	6.7	11	41	3.7	0.22	1.7	11	0.09	0.17
Mark Ingram	NO	6.6	10.2	39	3.87	0.33	1.1	7	0.03	0.08
Mikel LeShoure	DET	6.4	8.9	36	4.07	0.3	1	8	0.08	0.11
Knowshon Moreno	DEN	6	5.6	22	3.96	0.13	1.8	20	0.22	0.12
Matt Forte	CHI	5.8	6.9	28	3.98	0.21	1.3	14	0.1	0.07
Shaun Draughn	KC	5.6	4.1	29	7	0.33	0.8	7	0.03	0.04
Kendall Hunter	SF	5.3	7.7	31	4.07	0.16	1	10	0.04	0.07
Daryl Richardson	STL	5.2	7.2	31	4.22	0.25	0.7	6	0.03	0.07
Ryan Williams	ARI	5	6.4	28	4.35	0.23	1	7	0.04	0.06
Toby Gerhart	MIN	4.7	5.7	22	3.9	0.11	1.5	14	0.1	0.06
Rashad Jennings	JAC	4.5	5.1	28	5.5	0.22	0.5	4	0.02	0.04
Marcel Reece	OAK	4.3	2.9	11	3.79	0.06	2.1	22	0.13	0.08
Bernard Pierce	BAL	4.3	5.3	23	4.44	0.23	0.6	5	0.03	0.05
Mike Goodson	OAK	4.1	3.9	15	3.73	0.12	1.7	15	0.1	0.07
Danny Woodhead	NE	4.1	4.5	21	4.76	0.1	1.1	10	0.05	0.07
Roy Helu	WAS	4	3.4	13	3.92	0.09	2.2	16	0.11	0.05
Bernard Scott	CIN	3.9	7	22	3.1	0.18	1	5	0.04	0.07
John Kuhn	GB	3.8	2.8	11	3.95	0.13	1.1	9	0.17	0.05
Jason Snelling	ATL	3.7	3.3	12	3.54	0.07	2.2	16	0.11	0.05
LeGarrette Blount	TB	3.7	4.4	21	4.62	0.16	0.7	6	0.02	0.06
Robert Turbin	SEA	3.6	5.1	19	3.76	0.14	0.9	8	0.04	0.06
Jacquizz Rodgers	ATL	3.5	3.2	11	3.49	0.08	1.3	9	0.05	0.08
Lamar Miller	MIA	3.5	4.9	21	4.19	0.18	0.5	4	0.01	0.05
LaRod Stephens-Howling	ARI	3.2	2.5	7	3.02	0.05	1.1	10	0.04	0.06
David Wilson	NYG	3.2	4	17	4.2	0.1	0.6	6	0.03	0.12
Felix Jones	DAL	3	3.6	13	3.61	0.08	1	6	0.02	0.12
Mike Tolbert	CAR	3	0.7	3	4.36	0.04	2.1	18	0.11	0.02
Lance Ball	DEN	2.9	5.2	21	4.04	0.1	0.1	1	0.01	0.07
Bryce Brown	PHI	2.7	4	15	3.73	0.11	0.6	5	0.04	0.08
Leon Washington	SEA	2.6	0.6	2	4.02	0.02	0.2	1	0.01	0.09
Brandon Jackson	CLE	2.6	2.9	6	2.2	0.04	1.8	15	0.06	0.05
Tashard Choice	BUF	2.5	4.2	12	2.97	0.08	1	7	0.04	0.11
Alex Green	GB	2.5	2.5	9	3.46	0.06	1.4	9	0.08	0.03
Daniel Thomas	MIA	2.4	5.4	16	3.03	0.08	0.4	3	0.02	0.07
Andre Brown	NYG	2.3	2.8	12	4.15	0.13	0.1	1	0.01	0.04
Brian Leonard	CIN	2.2	1.4	7	4.85	0.05	1.2	9	0.06	0.02
Kahlil Bell	CHI	2.2	2.5	10	3.92	0.07	0.7	6	0.05	0.07
Bilal Powell	NYJ	2.1	5.1	13	2.53	0.09	0.5	4	0.02	0.12
Ronnie Brown	SD	1.7	3.2	10	3.27	0.06	0.3	2	0.02	0.04
Joique Bell	DET	1.7	1.2	4	3.16	0.06	0.7	8	0.04	0.02
LeRon McClain	SD	1.6	0.7	2	3.41	0.02	1.2	8	0.08	0.02
Joe McKnight	NYJ	1.5	0.5	2	3.1	0.01	0.5	4	0.02	0.06
Jorvorskie Lane	MIA	1.4	0.9	4	4.29	0.03	0.8	6	0.03	0.02
Brandon Jacobs	SF	1.3	1.7	8	4.74	0.07	0.1	1	0	0.01
Stanley Havili	PHI	1.3	0.2	1	3.31	0.01	0.4	10	0.03	0
Brandon Saine	GB	1.3	1.7	7	4.23	0.05	0.3	2	0.02	0.02
