PLAYER	TEAM	FP	FGM	FGA	FG0-39	FG40-49	FG50	XPM	XPA
Garrett Hartley	NO	10.8	2.14	2.38	1.32	0.62	0.2	3.78	3.84
Stephen Gostkowski	NE	10.4	2.22	2.63	1.5	0.52	0.2	3.19	3.23
Mason Crosby	GB	10.4	2.08	2.51	1.38	0.54	0.16	3.72	3.77
Robbie Gould	CHI	9.3	1.96	2.34	1.28	0.49	0.18	2.86	2.9
Lawrence Tynes	NYG	9.2	1.79	2.35	1.31	0.36	0.12	3.45	3.5
Adam Vinatieri	IND	9	2.06	2.29	1.21	0.62	0.23	2.13	2.17
Sebastian Janikowski	OAK	8.9	2.02	2.36	1.3	0.54	0.2	2.21	2.24
Dan Bailey	DAL	8.7	1.78	2.1	1.16	0.45	0.16	2.89	2.93
Rian Lindell	BUF	8.5	1.68	2.05	1.08	0.4	0.19	2.91	2.95
Blair Walsh	MIN	8.5	1.84	2.19	1.25	0.45	0.14	2.51	2.55
David Akers	SF	8.4	1.76	2.09	1.12	0.48	0.15	2.7	2.75
Connor Barth	TB	8.4	1.81	2.02	1.14	0.5	0.17	2.52	2.56
Justin Medlock	CAR	8.3	1.62	1.95	1.11	0.33	0.18	2.88	2.93
Shaun Suisham	PIT	8.2	1.84	2.19	1.18	0.5	0.16	2.17	2.21
Justin Tucker	BAL	8.2	1.77	2.11	1.16	0.47	0.15	2.4	2.44
Jason Hanson	DET	8.1	1.61	1.91	1	0.44	0.17	2.78	2.82
Shayne Graham	HOU	7.9	1.7	2.06	1.16	0.41	0.13	2.37	2.4
Jay Feely	ARI	7.6	1.64	2.01	1.01	0.45	0.18	2.18	2.21
Billy Cundiff	WAS	7.6	1.6	2	1.12	0.36	0.12	2.4	2.44
Rob Bironas	TEN	7.5	1.69	1.89	1	0.54	0.15	2.04	2.07
Phil Dawson	CLE	7.4	1.68	1.94	0.96	0.52	0.19	1.77	1.79
Mike Nugent	CIN	7.4	1.67	1.97	1.05	0.47	0.15	1.89	1.92
Josh Scobee	JAC	6.8	1.6	1.85	0.97	0.46	0.17	1.49	1.51
Greg Zuerlein	STL	6.8	1.41	1.7	0.97	0.34	0.1	2.24	2.28
Steve Hauschka	SEA	6.5	1.38	1.68	0.84	0.38	0.15	1.92	1.94
Nick Folk	NYJ	6.2	1.25	1.68	0.84	0.3	0.11	2.14	2.17
John Kasay	NO	0	0	0	0	0	0	0	0
Olindo Mare	CAR	0	0	0	0	0	0	0	0
Ryan Longwell	MIN	0	0	0	0	0	0	0	0
Matt Bryant	ATL	0	0	0	0	0	0	0	0
Josh Brown	NYJ	0	0	0	0	0	0	0	0
Nate Kaeding	SD	0	0	0	0	0	0	0	0
Nick Novak	SD	0	0	0	0	0	0	0	0
Rhys Lloyd	NYG	0	0	0	0	0	0	0	0
Matt Prater	DEN	0	0	0	0	0	0	0	0
Brandon Coutu	JAC	0	0	0	0	0	0	0	0
Dan Carpenter	MIA	0	0	0	0	0	0	0	0
David Buehler	DAL	0	0	0	0	0	0	0	0
Ryan Succop	KC	0	0	0	0	0	0	0	0
Graham Gano	WAS	0	0	0	0	0	0	0	0
Alex Henery	PHI	0	0	0	0	0	0	0	0
Randy Bullock	HOU	0	0	0	0	0	0	0	0
John Potter	BUF	0	0	0	0	0	0	0	0
