PLAYER	TEAM	FP	FGM	FGA	FG0-39	FG40-49	FG50	XPM	XPA
Mason Crosby	GB	11.8	2.17	2.6	1.38	0.56	0.23	4.6	4.67
Alex Henery	PHI	10.3	2.03	2.41	1.3	0.49	0.23	3.52	3.57
Justin Tucker	BAL	10.2	2.24	2.62	1.56	0.51	0.16	2.96	3
Garrett Hartley	NO	10	2.02	2.27	1.21	0.61	0.21	3.32	3.37
Stephen Gostkowski	NE	9.9	2.05	2.39	1.4	0.49	0.16	3.27	3.32
Rian Lindell	BUF	9.7	2.06	2.47	1.28	0.54	0.24	2.83	2.88
Steve Hauschka	SEA	9.4	2.07	2.5	1.29	0.56	0.22	2.54	2.58
Matt Bryant	ATL	8.8	1.81	2.03	1.09	0.54	0.18	2.87	2.91
Justin Medlock	CAR	8.8	1.82	2.25	1.28	0.37	0.17	2.82	2.87
Mike Nugent	CIN	8.7	1.88	2.14	1.2	0.52	0.16	2.64	2.68
Sebastian Janikowski	OAK	8.6	1.99	2.32	1.34	0.5	0.15	2.16	2.2
Ryan Succop	KC	8.5	1.94	2.41	1.29	0.5	0.15	2.24	2.27
Shaun Suisham	PIT	8.4	1.73	2.15	1.16	0.44	0.13	2.84	2.88
Lawrence Tynes	NYG	8.3	1.49	2.03	1.07	0.3	0.12	3.48	3.54
Dan Bailey	DAL	8.2	1.66	2	1.07	0.45	0.14	2.75	2.79
Adam Vinatieri	IND	8.1	1.82	2.05	1.07	0.55	0.2	2.1	2.13
Nate Kaeding	SD	8.1	1.7	1.94	1.04	0.49	0.17	2.44	2.48
Robbie Gould	CHI	8.1	1.73	2.07	1.13	0.44	0.16	2.45	2.48
Matt Prater	DEN	8.1	1.6	2.04	1.02	0.41	0.18	2.76	2.81
Connor Barth	TB	8.1	1.72	1.94	1.03	0.54	0.15	2.52	2.56
Phil Dawson	CLE	8	1.8	2.05	1.04	0.56	0.19	2.04	2.07
David Akers	SF	8	1.63	1.96	0.98	0.46	0.18	2.56	2.6
Shayne Graham	HOU	7.8	1.68	2.08	1.21	0.36	0.11	2.4	2.44
Jason Hanson	DET	7.7	1.43	1.7	0.97	0.36	0.1	3.12	3.17
Rob Bironas	TEN	7.7	1.76	1.97	1.04	0.54	0.17	1.94	1.97
Josh Scobee	JAC	7.6	1.79	2.04	1.1	0.5	0.19	1.64	1.66
Nick Folk	NYJ	7.4	1.55	2.03	1.01	0.38	0.16	2.27	2.3
Billy Cundiff	WAS	7.2	1.58	1.94	1.1	0.36	0.12	2.09	2.12
Jay Feely	ARI	6.8	1.54	1.84	1.02	0.36	0.15	1.75	1.77
Blair Walsh	MIN	6.7	1.41	1.71	0.88	0.39	0.14	2.08	2.11
Dan Carpenter	MIA	6.4	1.52	1.82	0.94	0.44	0.14	1.46	1.48
Greg Zuerlein	STL	6.3	1.36	1.74	0.91	0.35	0.1	1.95	1.98
John Kasay	NO	0	0	0	0	0	0	0	0
Olindo Mare	CAR	0	0	0	0	0	0	0	0
Ryan Longwell	MIN	0	0	0	0	0	0	0	0
Josh Brown	NYJ	0	0	0	0	0	0	0	0
Nick Novak	SD	0	0	0	0	0	0	0	0
Rhys Lloyd	NYG	0	0	0	0	0	0	0	0
Brandon Coutu	JAC	0	0	0	0	0	0	0	0
David Buehler	DAL	0	0	0	0	0	0	0	0
Graham Gano	WAS	0	0	0	0	0	0	0	0
Randy Bullock	HOU	0	0	0	0	0	0	0	0
John Potter	BUF	0	0	0	0	0	0	0	0
