PLAYER	TEAM	FP	PA	SACK	INT	FUMR	BLK	TO	INTTD	KRETTD	PRETTD
Houston Texans	HOU	20.1	14.9	4.2	0.84	1.2	0.26	2.04	0.07	0.01	0.02
Atlanta Falcons	ATL	17.9	18.8	3.6	1.55	1.19	0.21	2.75	0.08	0.01	0
San Francisco 49ers	SF	17.6	18.1	4.3	0.88	0.98	0.24	1.86	0.14	0.05	0.08
New York Jets	NYJ	16.8	18	3.7	0.79	1.16	0.24	1.95	0.15	0.07	0.11
New England Patriots	NE	16.7	18.6	3.6	1.21	0.81	0.17	2.03	0.07	0.04	0.11
Dallas Cowboys	DAL	16.3	18.7	3.8	1.26	0.86	0.21	2.12	0.11	0.04	0.02
Buffalo Bills	BUF	15.7	19.2	3.2	1.33	0.98	0.2	2.31	0.11	0.03	0.13
Philadelphia Eagles	PHI	14	24.5	3.6	1.35	1.35	0.2	2.7	0.12	0.02	0.02
Baltimore Ravens	BAL	12.4	21.5	3.3	0.75	0.84	0.24	1.59	0.08	0.03	0.03
Pittsburgh Steelers	PIT	11.9	20.7	3.1	0.58	1.04	0.22	1.62	0.12	0.02	0.03
Chicago Bears	CHI	10.6	23.4	3	0.71	0.83	0.23	1.53	0.13	0.03	0.09
New Orleans Saints	NO	10.5	22.6	1.8	1.22	0.96	0.2	2.18	0.08	0.04	0.05
Kansas City Chiefs	KC	10.4	22	1.9	0.99	0.74	0.23	1.73	0.08	0.02	0.06
Carolina Panthers	CAR	10.4	21.5	1.4	1.1	1.14	0.17	2.24	0.19	0.08	0.01
Cincinnati Bengals	CIN	10.2	23.2	2.8	0.71	0.98	0.26	1.69	0.21	0.04	0.06
St. Louis Rams	STL	10.1	24	2.1	0.97	1.36	0.21	2.33	0.14	0.02	0.01
Miami Dolphins	MIA	9.3	22.2	1.3	1.08	1.03	0.23	2.12	0.21	0.05	0.06
Green Bay Packers	GB	8.4	30.3	2.3	1.42	0.89	0.16	2.32	0.14	0.08	0.1
Detroit Lions	DET	7.5	37.2	3.2	0.77	0.88	0.23	1.64	0.25	0.06	0.02
Washington Redskins	WAS	5.4	30.8	1.8	1.16	1	0.2	2.16	0.18	0.02	0.01
Cleveland Browns	CLE	5.2	28.2	2.1	0.77	0.97	0.2	1.74	0.14	0.04	0.04
Jacksonville Jaguars	JAC	5	25.2	1.2	0.53	1.12	0.23	1.65	0.11	0.03	0
Denver Broncos	DEN	4.8	28.4	2	0.9	0.87	0.21	1.76	0.11	0.02	0.03
San Diego Chargers	SD	4.8	28.1	1.4	1	0.85	0.21	1.85	0.1	0.1	0.07
Tampa Bay Buccaneers	TB	4.8	28.1	1.5	1.19	0.79	0.17	1.98	0.18	0.04	0
Arizona Cardinals	ARI	4.5	29.2	1.6	0.62	0.96	0.23	1.58	0.23	0.05	0.12
Oakland Raiders	OAK	3.9	29.2	1.7	0.94	0.65	0.22	1.59	0.17	0.02	0.06
Indianapolis Colts	IND	2.8	33.7	1.4	0.5	0.93	0.19	1.43	0.17	0.06	0.01
Tennessee Titans	TEN	0	0	0	0	0	0	0	0	0	0
Minnesota Vikings	MIN	0	0	0	0	0	0	0	0	0	0
New York Giants	NYG	0	0	0	0	0	0	0	0	0	0
Seattle Seahawks	SEA	0	0	0	0	0	0	0	0	0	0
