PLAYER	TEAM	FP	FGM	FGA	FG0-39	FG40-49	FG50	XPM	XPA
Stephen Gostkowski	NE	11.3	2.31	2.75	1.51	0.57	0.23	3.65	3.7
Mason Crosby	GB	11	3	3	0	0	0	2	2
Mike Nugent	CIN	10	2.28	2.67	1.5	0.6	0.18	2.61	2.65
Garrett Hartley	NO	9.9	1.98	2.23	1.1	0.65	0.22	3.24	3.29
Nate Kaeding	SD	9.4	1.99	2.34	1.27	0.52	0.19	2.81	2.85
Dan Bailey	DAL	9.2	1.96	2.28	1.27	0.5	0.19	2.73	2.77
Matt Bryant	ATL	9.1	1.81	2.02	1.07	0.55	0.18	3.12	3.17
Billy Cundiff	WAS	9	2.03	2.54	1.37	0.49	0.17	2.36	2.39
Lawrence Tynes	NYG	8.9	1.74	2.31	1.26	0.33	0.15	3.21	3.25
Shaun Suisham	PIT	8.9	1.99	2.47	1.36	0.47	0.16	2.42	2.46
Matt Prater	DEN	8.6	1.75	2.15	1.25	0.36	0.15	2.96	3.01
Adam Vinatieri	IND	8.5	1.84	2.07	1.05	0.57	0.22	2.32	2.36
Justin Medlock	CAR	8.5	1.74	2.15	1.17	0.4	0.17	2.77	2.81
David Akers	SF	8.4	1.63	1.99	0.94	0.52	0.17	3.04	3.08
Shayne Graham	HOU	8.4	1.77	2.23	1.19	0.44	0.15	2.6	2.64
Alex Henery	PHI	8.3	1.83	2.11	1.21	0.46	0.16	2.33	2.36
Sebastian Janikowski	OAK	8.1	1.97	2.33	1.26	0.55	0.16	1.7	1.73
Ryan Succop	KC	8.1	1.75	2.16	1.21	0.41	0.13	2.48	2.52
Justin Tucker	BAL	8.1	1.64	1.97	1.08	0.42	0.15	2.73	2.77
Greg Zuerlein	STL	7.7	1.78	2.22	1.22	0.43	0.13	1.94	1.97
Rian Lindell	BUF	7.6	1.48	1.8	0.92	0.39	0.17	2.61	2.65
Connor Barth	TB	7.5	1.66	1.91	1.03	0.46	0.17	2	2.03
Rob Bironas	TEN	7.4	1.62	1.82	0.96	0.5	0.16	2.1	2.13
Jason Hanson	DET	7.3	1.41	1.73	0.83	0.44	0.14	2.63	2.67
Blair Walsh	MIN	7.3	1.56	1.87	1.01	0.39	0.16	2.21	2.24
Dan Carpenter	MIA	7.2	1.63	1.96	1.01	0.46	0.16	1.81	1.84
Josh Scobee	JAC	6.6	1.54	1.75	0.92	0.46	0.16	1.47	1.49
Jay Feely	ARI	6.5	1.36	1.67	0.89	0.34	0.13	1.98	2.01
Steve Hauschka	SEA	6.5	1.33	1.62	0.81	0.39	0.13	2.15	2.19
Phil Dawson	CLE	6.4	1.45	1.68	0.84	0.44	0.17	1.56	1.58
Nick Folk	NYJ	5.9	1.24	1.62	0.84	0.3	0.11	1.84	1.87
Robbie Gould	CHI	4	1	1	0	0	0	1	1
John Kasay	NO	0	0	0	0	0	0	0	0
Olindo Mare	CAR	0	0	0	0	0	0	0	0
Ryan Longwell	MIN	0	0	0	0	0	0	0	0
Josh Brown	NYJ	0	0	0	0	0	0	0	0
Nick Novak	SD	0	0	0	0	0	0	0	0
Rhys Lloyd	NYG	0	0	0	0	0	0	0	0
Brandon Coutu	JAC	0	0	0	0	0	0	0	0
David Buehler	DAL	0	0	0	0	0	0	0	0
Graham Gano	WAS	0	0	0	0	0	0	0	0
Randy Bullock	HOU	0	0	0	0	0	0	0	0
John Potter	BUF	0	0	0	0	0	0	0	0
