PLAYER	TEAM	FP	FGM	FGA	FG0-39	FG40-49	FG50	XPM	XPA
Mason Crosby	GB	11	1.97	2.38	1.23	0.5	0.25	4.37	4.44
Justin Tucker	BAL	10.4	2.2	2.62	1.45	0.57	0.18	3.23	3.28
Jason Hanson	DET	9.9	1.8	2.16	1.1	0.5	0.2	3.9	3.96
Stephen Gostkowski	NE	9.9	1.97	2.3	1.33	0.48	0.16	3.56	3.61
Garrett Hartley	NO	9.9	1.98	2.18	1.29	0.52	0.17	3.5	3.56
Shayne Graham	HOU	9.3	1.96	2.35	1.33	0.49	0.14	2.99	3.03
Connor Barth	TB	9.2	2.08	2.34	1.3	0.61	0.17	2.47	2.51
Matt Bryant	ATL	9.1	1.78	2.01	1.04	0.58	0.17	3.24	3.29
Alex Henery	PHI	9.1	1.9	2.21	1.24	0.51	0.14	3.03	3.07
Nate Kaeding	SD	9	1.86	2.13	1.1	0.56	0.19	2.9	2.94
Steve Hauschka	SEA	8.8	1.98	2.39	1.2	0.56	0.21	2.26	2.29
Mike Nugent	CIN	8.5	1.94	2.24	1.2	0.56	0.17	2.16	2.19
Sebastian Janikowski	OAK	8.3	1.92	2.23	1.3	0.46	0.16	2.07	2.1
Billy Cundiff	WAS	8.2	1.75	2.17	1.2	0.43	0.12	2.64	2.68
Dan Bailey	DAL	8.2	1.66	1.96	1.06	0.46	0.14	2.77	2.82
Matt Prater	DEN	8.1	1.56	1.98	1.04	0.39	0.14	3.02	3.06
Justin Medlock	CAR	8.1	1.75	2.19	1.22	0.39	0.14	2.47	2.51
Dan Carpenter	MIA	8	1.93	2.28	1.24	0.51	0.18	1.67	1.69
David Akers	SF	7.9	1.84	2.18	1.13	0.53	0.18	1.89	1.92
Jay Feely	ARI	7.6	1.7	2.03	1.05	0.46	0.2	1.88	1.91
Ryan Succop	KC	7.6	1.62	1.98	1.07	0.41	0.13	2.39	2.43
Robbie Gould	CHI	7.5	1.6	1.87	1.05	0.42	0.13	2.31	2.35
Blair Walsh	MIN	7.5	1.6	1.92	1.04	0.43	0.13	2.32	2.35
Josh Scobee	JAC	7.4	1.69	1.93	1.04	0.47	0.18	1.8	1.83
Lawrence Tynes	NYG	7.4	1.42	1.93	1.01	0.29	0.12	2.81	2.85
Greg Zuerlein	STL	7.2	1.66	2	1.16	0.39	0.11	1.89	1.92
Rob Bironas	TEN	7	1.6	1.78	0.98	0.46	0.16	1.72	1.74
Nick Folk	NYJ	7	1.47	1.89	1	0.32	0.14	2.13	2.16
Rian Lindell	BUF	6.9	1.27	1.56	0.82	0.31	0.14	2.66	2.7
Phil Dawson	CLE	5.8	1.35	1.54	0.79	0.41	0.14	1.31	1.33
John Kasay	NO	0	0	0	0	0	0	0	0
Adam Vinatieri	IND	0	0	0	0	0	0	0	0
Olindo Mare	CAR	0	0	0	0	0	0	0	0
Ryan Longwell	MIN	0	0	0	0	0	0	0	0
Josh Brown	NYJ	0	0	0	0	0	0	0	0
Nick Novak	SD	0	0	0	0	0	0	0	0
Shaun Suisham	PIT	0	0	0	0	0	0	0	0
Rhys Lloyd	NYG	0	0	0	0	0	0	0	0
Brandon Coutu	JAC	0	0	0	0	0	0	0	0
David Buehler	DAL	0	0	0	0	0	0	0	0
Graham Gano	WAS	0	0	0	0	0	0	0	0
Randy Bullock	HOU	0	0	0	0	0	0	0	0
John Potter	BUF	0	0	0	0	0	0	0	0
