PLAYER	TEAM	FP	INT	PD	SOLO	AST	SACK	FUMR	FORCE
Charles Woodson	GB	7.7	0.24	0.75	5	2	0.16	0.08	0.27
Antoine Winfield	MIN	7.7	0.04	0.22	5.9	3.5	0.26	0.05	0.35
Morgan Burnett	GB	7.2	0.18	0.56	5.2	2.1	0.06	0.17	0.22
Tramon Williams	GB	6.7	0.26	1	4	1.6	0.03	0.2	0.04
Quintin Mikell	STL	6.6	0.18	0.63	4.2	1.6	0.09	0.18	0.38
Charles Tillman	CHI	6.4	0.14	0.65	4.2	1.3	0.06	0.15	0.26
Charles Godfrey	CAR	6.3	0.19	0.5	4.7	2.3	0.07	0.02	0.23
Tyvon Branch	OAK	6.3	0.08	0.27	5.3	2	0.06	0.1	0.06
Jason McCourty	TEN	6.3	0.1	0.73	5.1	2.1	0.1	0.07	0.12
Roman Harper	NO	6.2	0.01	0.43	3.7	1.7	0.56	0.1	0.24
Richard Marshall	MIA	6.2	0.19	0.53	4.5	1.5	0.19	0.05	0.03
DeAngelo Hall	WAS	6.1	0.21	0.65	4.6	3.2	0.05	0.03	0.1
LaRon Landry	NYJ	6.1	0.05	0.32	4.8	2.2	0.09	0.12	0.16
Kerry Rhodes	ARI	6	0.07	0.54	3.8	1.2	0.38	0.21	0.01
Marcus Trufant	SEA	5.9	0.19	0.54	4.1	2	0	0.14	0.05
Dashon Goldson	SF	5.8	0.25	0.35	4.3	1.4	0.01	0.06	0.04
Patrick Chung	NE	5.8	0.14	0.65	4.1	2.8	0.11	0.05	0.03
Jerraud Powers	IND	5.8	0.41	0.56	2.8	2.4	0	0.04	0.01
Patrick Peterson	ARI	5.8	0.13	0.66	3.2	1.1	0.1	0.06	0.01
Troy Polamalu	PIT	5.7	0.2	0.7	3.9	1.9	0.1	0.13	0.03
Yeremiah Bell	NYJ	5.7	0.07	0.33	4.4	2.1	0.09	0.11	0.12
Thomas DeCoud	ATL	5.6	0.17	0.29	4.6	2.4	0	0.02	0.06
Devin McCourty	NE	5.6	0.21	1	4.2	2.7	0.03	0.02	0.13
Bernard Pollard	BAL	5.5	0.04	0.54	4	2.1	0.1	0.05	0.26
Eric Weddle	SD	5.5	0.24	0.75	4.2	1.6	0	0.02	0.02
Greg Toler	ARI	5.5	0.07	0.57	4.1	1.4	0.09	0.11	0.19
Gerald Sensabaugh	DAL	5.4	0.18	0.26	3.4	1.4	0.06	0.15	0.21
Kyle Arrington	NE	5.4	0.28	0.74	3.6	2.4	0	0.08	0.03
Jairus Byrd	BUF	5.4	0.14	0.31	3.4	2	0.08	0.08	0.24
Earl Thomas	SEA	5.4	0.15	0.29	4	1.9	0	0.17	0.12
Ronde Barber	TB	5.3	0.11	0.63	4.4	1.4	0.06	0.07	0.05
Ryan Clark	PIT	5.3	0.11	0.34	4.4	2.1	0.07	0.04	0.02
Reggie Nelson	CIN	5.3	0.2	0.51	3.1	2.3	0.12	0.01	0.17
William Moore	ATL	5.3	0.18	0.6	3.8	2	0	0.06	0.25
Lardarius Webb	BAL	5.3	0.29	0.92	3.2	1.8	0	0.06	0.05
Donte Whitner	SF	5.2	0.09	0.3	4.1	1.3	0.01	0.15	0.09
Michael Griffin	TEN	5.2	0.12	0.35	4.2	1.9	0	0.05	0.16
Brent Grimes	ATL	5.2	0.18	1.14	3.9	2.2	0	0.04	0.13
Eric Berry	KC	5.2	0.14	0.56	3.8	1.9	0.04	0.01	0.1
Brandon Browner	SEA	5.2	0.29	1.08	3.1	1.5	0	0.02	0.02
Antoine Bethea	IND	5.1	0.05	0.44	4.3	3.8	0	0.08	0.21
Antrel Rolle	NYG	5	0.09	0.19	4.4	1.9	0	0.05	0.06
Kam Chancellor	SEA	5	0.14	0.4	3.4	1.6	0.13	0.08	0.08
Nate Clements	CIN	4.9	0.12	0.54	3.2	2.2	0.05	0.13	0.23
Bradley Fletcher	STL	4.9	0.22	0.64	3.6	1.4	0	0.06	0.01
T.J. Ward	CLE	4.9	0.02	0.42	3.8	2	0.12	0.01	0.19
Matt Giordano	OAK	4.8	0.27	0.27	3.1	1.1	0.04	0.02	0.12
Tracy Porter	DEN	4.8	0.07	0.41	3.7	1.5	0	0.17	0.1
Terence Newman	CIN	4.7	0.2	0.46	3.2	2.4	0	0.1	0.02
Carlos Rogers	SF	4.7	0.23	0.6	3.3	1	0	0.02	0.02
George Wilson	BUF	4.7	0.23	0.3	3.2	1.9	0	0.06	0.11
Danieal Manning	HOU	4.7	0.13	0.32	3.3	1.5	0	0.02	0.01
Cortland Finnegan	STL	4.7	0.09	0.78	3.4	1.2	0.13	0.09	0.02
Eric Wright	TB	4.7	0.12	0.76	4	1.2	0	0.01	0.03
Chris Hope	ATL	4.6	0.15	0.22	3	1.7	0.02	0.23	0.05
Michael Huff	OAK	4.6	0.16	0.39	3.4	1.3	0.04	0.01	0.1
Cedric Griffin	WAS	4.6	0.07	0.52	3.8	2.5	0	0.02	0.23
Dawan Landry	JAC	4.6	0.07	0.23	3.8	1.9	0.04	0.07	0.04
Steve Gregory	NE	4.6	0.13	0.26	3.6	2.4	0.01	0.02	0.03
Perrish Cox	SF	4.6	0.09	0.65	3.8	1.2	0	0.02	0.13
Kurt Coleman	PHI	4.6	0.19	0.33	3.4	1	0	0.02	0.07
Asante Samuel	ATL	4.5	0.26	0.82	2.2	1.2	0	0.11	0.14
Jordan Babineaux	TEN	4.5	0.06	0.38	3.6	1.5	0.05	0.05	0.12
Eric Smith	NYJ	4.4	0.06	0.3	3.5	1.6	0.11	0.05	0.01
Malcolm Jenkins	NO	4.4	0.03	0.54	3.2	1.5	0.18	0.11	0.07
Ed Reed	BAL	4.3	0.23	0.66	2.9	1.6	0.04	0.03	0.06
Kenny Phillips	NYG	4.3	0.15	0.43	3.2	1.5	0	0.04	0.08
Captain Munnerlyn	CAR	4.3	0.06	0.46	2.8	1.5	0.09	0.1	0.23
Joe Haden	CLE	4.3	0.11	1.06	3.1	1.7	0.11	0.06	0.11
Leon Hall	CIN	4.2	0.22	0.55	2.6	1.9	0	0.09	0.07
Josh Wilson	WAS	4.2	0.12	0.66	3.2	2.2	0	0.06	0.05
Orlando Scandrick	DAL	4.2	0.06	0.4	2.9	1.2	0.28	0.02	0.01
Sherrod Martin	CAR	4.2	0.14	0.42	3.3	1.6	0	0.03	0.06
Sean Smith	MIA	4.2	0.1	0.5	3.6	1.3	0.01	0.04	0.02
Nate Allen	PHI	4.2	0.18	0.56	3.2	1	0.04	0.02	0.03
Reshad Jones	MIA	4.2	0.06	0.24	3	1	0.23	0.06	0.02
Kelvin Hayden	CHI	4.1	0.21	0.42	2.5	0.8	0.01	0.01	0.03
