PLAYER	TEAM	FP	FGM	FGA	FG0-39	FG40-49	FG50	XPM	XPA
Alex Henery	PHI	10.7	2.34	2.67	1.51	0.64	0.19	3.15	3.2
Mason Crosby	GB	10.6	1.92	2.37	1.28	0.43	0.21	4.2	4.26
Stephen Gostkowski	NE	10.3	2.03	2.46	1.25	0.49	0.28	3.38	3.43
Matt Prater	DEN	10.1	2.3	2.78	1.61	0.52	0.18	2.63	2.67
Matt Bryant	ATL	9.7	1.96	2.23	1.19	0.59	0.18	3.31	3.36
Connor Barth	TB	9.7	2.2	2.5	1.38	0.61	0.21	2.5	2.54
Garrett Hartley	NO	9.7	1.86	2.11	1.12	0.57	0.17	3.62	3.68
Dan Bailey	DAL	9.7	1.9	2.2	1.3	0.46	0.14	3.57	3.62
Ryan Succop	KC	9.3	2.03	2.43	1.37	0.51	0.15	2.77	2.81
Robbie Gould	CHI	9.1	2.05	2.4	1.38	0.51	0.15	2.47	2.51
Shayne Graham	HOU	9	1.8	2.16	1.1	0.5	0.2	3.05	3.1
Jason Hanson	DET	8.9	1.64	2.01	1.12	0.39	0.13	3.56	3.61
Nate Kaeding	SD	8.7	1.93	2.25	1.24	0.53	0.15	2.5	2.53
Justin Tucker	BAL	8.7	1.83	2.23	1.23	0.45	0.16	2.76	2.8
Justin Medlock	CAR	8.6	1.7	2.15	1.15	0.38	0.17	2.96	3.01
Sebastian Janikowski	OAK	8.5	1.89	2.22	1.26	0.48	0.14	2.39	2.43
Shaun Suisham	PIT	8.4	1.8	2.25	1.21	0.46	0.14	2.63	2.67
Rian Lindell	BUF	7.9	1.68	2.02	1.02	0.48	0.19	2.26	2.29
Steve Hauschka	SEA	7.6	1.63	1.98	1.02	0.45	0.16	2.26	2.29
Nick Folk	NYJ	7.5	1.5	1.88	1.01	0.37	0.12	2.6	2.64
David Akers	SF	7.4	1.64	2.02	1.05	0.46	0.14	2.05	2.08
Rob Bironas	TEN	7.3	1.48	1.66	0.94	0.42	0.12	2.5	2.54
Greg Zuerlein	STL	7.3	1.67	2.1	1.14	0.44	0.1	1.99	2.02
Dan Carpenter	MIA	7.1	1.58	1.91	0.99	0.44	0.15	1.91	1.94
Phil Dawson	CLE	7	1.59	1.87	0.98	0.46	0.15	1.74	1.77
Jay Feely	ARI	6.9	1.48	1.78	0.9	0.4	0.18	1.87	1.9
Billy Cundiff	WAS	6.9	1.49	1.88	1.01	0.36	0.12	2.11	2.14
Adam Vinatieri	IND	6.8	1.44	1.65	0.84	0.46	0.14	2.05	2.08
Josh Scobee	JAC	6.6	1.42	1.66	0.85	0.43	0.14	1.86	1.88
Lawrence Tynes	NYG	6.6	1.31	1.77	0.93	0.28	0.1	2.31	2.34
Mike Nugent	CIN	6.6	1.5	1.74	0.91	0.43	0.16	1.64	1.66
Blair Walsh	MIN	6.1	1.25	1.67	0.83	0.3	0.12	1.93	1.96
John Kasay	NO	0	0	0	0	0	0	0	0
Olindo Mare	CAR	0	0	0	0	0	0	0	0
Ryan Longwell	MIN	0	0	0	0	0	0	0	0
Neil Rackers	WAS	0	0	0	0	0	0	0	0
Josh Brown	NYJ	0	0	0	0	0	0	0	0
Nick Novak	SD	0	0	0	0	0	0	0	0
Rhys Lloyd	NYG	0	0	0	0	0	0	0	0
Brandon Coutu	JAC	0	0	0	0	0	0	0	0
David Buehler	DAL	0	0	0	0	0	0	0	0
Graham Gano	WAS	0	0	0	0	0	0	0	0
Randy Bullock	HOU	0	0	0	0	0	0	0	0
John Potter	BUF	0	0	0	0	0	0	0	0
