PLAYER	TEAM	FP	RUSH	RUSHYD	YPC	RUSHTD	REC	RECYD	RECTD	FUML
Arian Foster	HOU	18.2	19.5	82	4.19	0.68	5.3	47	0.27	0.18
LeSean McCoy	PHI	17	17.1	83	4.84	0.89	3.8	28	0.17	0.21
Ahmad Bradshaw	NYG	16	16.4	84	5.1	0.75	3.5	26	0.15	0.18
Trent Richardson	CLE	15.6	17.4	80	4.61	0.64	3.1	29	0.2	0.19
Marshawn Lynch	SEA	15.4	19.5	89	4.58	0.82	1.8	15	0.07	0.18
Darren McFadden	OAK	15.1	15.9	74	4.66	0.54	4.4	36	0.19	0.18
Ray Rice	BAL	15	16.5	72	4.35	0.55	4.5	39	0.16	0.18
Adrian Peterson	MIN	14.9	16.4	87	5.3	0.82	1.9	12	0.07	0.16
Maurice Jones-Drew	JAC	14.8	20.3	93	4.56	0.53	2.9	20	0.13	0.23
Stevan Ridley	NE	13.8	18.9	92	4.85	0.63	1	9	0.06	0.18
C.J. Spiller	BUF	13.7	10.3	67	6.46	0.7	2.8	20	0.14	0.21
Doug Martin	TB	13.5	16.2	69	4.24	0.56	3.1	26	0.15	0.15
BenJarvus Green-Ellis	CIN	13.3	15	76	5.05	0.82	0.7	8	0.05	0.14
Steven Jackson	STL	12.4	16.1	71	4.41	0.35	3.4	26	0.16	0.18
DeMarco Murray	DAL	12.3	17.7	72	4.09	0.36	3.4	24	0.13	0.19
Donald Brown	IND	12.1	14.9	74	4.96	0.52	2.2	14	0.07	0.14
Fred Jackson	BUF	12	12	61	5.11	0.48	2.7	24	0.14	0.14
Darren Sproles	NO	11.4	3.9	19	4.81	0.13	6	50	0.32	0.15
Chris Johnson	TEN	10.7	15.6	63	4.01	0.38	3.1	19	0.09	0.17
Willis McGahee	DEN	10.4	17	71	4.15	0.42	1.2	7	0.08	0.2
Alfred Morris	WAS	10.3	14.1	62	4.37	0.61	0.8	7	0.02	0.14
Jamaal Charles	KC	10.2	12.4	61	4.92	0.33	1.9	17	0.11	0.14
Shonn Greene	NYJ	10.1	17.4	63	3.61	0.46	1.7	12	0.05	0.17
Matt Forte	CHI	9.5	13.2	40	3.06	0.32	3.3	31	0.13	0.15
Ryan Mathews	SD	9.4	15	47	3.11	0.34	3.5	26	0.1	0.23
Reggie Bush	MIA	9.2	13.4	45	3.37	0.25	3.8	28	0.12	0.18
Jonathan Stewart	CAR	9	9.8	41	4.18	0.22	3.3	27	0.18	0.11
Rashard Mendenhall	PIT	9	13	52	4.01	0.47	1.2	10	0.06	0.15
Michael Turner	ATL	8.4	14.5	52	3.58	0.45	0.8	6	0.02	0.14
Frank Gore	SF	8.4	16	51	3.21	0.36	1.8	13	0.04	0.17
DeAngelo Williams	CAR	8.4	10	47	4.69	0.39	1.5	12	0.07	0.1
Kevin Smith	DET	8.2	6.6	29	4.39	0.22	2.4	25	0.29	0.09
Cedric Benson	GB	8	14.1	51	3.66	0.37	1	7	0.04	0.16
Pierre Thomas	NO	7.7	6.4	28	4.43	0.19	3.4	28	0.15	0.1
Peyton Hillis	KC	7.4	11.6	47	4.01	0.27	1.5	10	0.07	0.16
Michael Bush	CHI	6.7	9.8	28	2.88	0.28	1.9	18	0.1	0.11
Beanie Wells	ARI	6.4	11.4	42	3.71	0.3	0.6	5	0.02	0.11
Ben Tate	HOU	6.4	8.7	37	4.21	0.24	1.5	11	0.06	0.11
Rashad Jennings	JAC	6.1	5.7	32	5.7	0.24	1.5	13	0.04	0.06
Mark Ingram	NO	5.9	11	36	3.28	0.28	1.1	6	0.03	0.11
Knowshon Moreno	DEN	5.2	5	19	3.77	0.1	1.7	18	0.17	0.08
Bernard Scott	CIN	5	7	28	4.02	0.25	0.9	5	0.06	0.07
Shaun Draughn	KC	5	3.8	28	7.26	0.27	0.6	6	0.03	0.05
Kendall Hunter	SF	4.8	7.9	28	3.59	0.15	1	10	0.03	0.08
Daryl Richardson	STL	4.6	6.9	29	4.16	0.18	0.7	6	0.03	0.06
Marcel Reece	OAK	4.3	3	12	3.96	0.04	2.3	23	0.11	0.1
Isaac Redman	PIT	4.3	6.5	25	3.86	0.13	1.1	7	0.08	0.08
Mikel LeShoure	DET	4.3	5.7	23	4.06	0.16	0.9	8	0.06	0.08
Toby Gerhart	MIN	4.2	5.8	23	4	0.12	1.4	9	0.07	0.08
David Wilson	NYG	4.1	4.5	21	4.74	0.18	0.7	6	0.03	0.16
Robert Turbin	SEA	4.1	5.4	23	4.16	0.16	0.9	8	0.04	0.06
Mike Goodson	OAK	4	4.1	16	4.02	0.13	1.6	13	0.06	0.07
Ryan Williams	ARI	4	5.6	22	3.88	0.15	0.9	7	0.05	0.05
Danny Woodhead	NE	3.9	4.3	20	4.68	0.11	1	8	0.04	0.06
