PLAYER	TEAM	FP	COMP	ATT	CMP%	PASSYD	PASSTD	INT	RUSHYD	RUSHTD	FUML
Aaron Rodgers	GB	22	22.7	36.2	0.627	303	2.27	0.96	20	0.17	0.14
Cam Newton	CAR	21.9	20.5	33.9	0.603	257	1.31	1.16	51	0.67	0.22
Drew Brees	NO	21.2	26.2	39.1	0.671	313	2.56	1.04	5	0.05	0.16
Robert Griffin III	WAS	20	20.5	34.3	0.598	239	1.16	0.76	53	0.49	0.49
Tony Romo	DAL	19.1	23	33	0.698	283	2.37	0.93	3	0.04	0.2
Matt Ryan	ATL	19	23.6	39.4	0.599	287	2.16	0.83	6	0.05	0.16
Matthew Stafford	DET	19	23.8	36.6	0.649	276	2.32	0.82	5	0.03	0.14
Michael Vick	PHI	18.4	18.8	33.4	0.561	237	1.17	1.09	52	0.38	0.53
Jake Locker	TEN	18.2	23.1	38.7	0.598	284	1.46	0.96	19	0.22	0.16
Eli Manning	NYG	17.4	21.9	35.7	0.613	284	2.06	0.97	1	0.03	0.28
Joe Flacco	BAL	17.3	22.7	36.2	0.627	284	1.91	0.78	4	0.03	0.37
Tom Brady	NE	17	23.8	38.4	0.62	290	1.69	0.83	3	0.06	0.15
Peyton Manning	DEN	15.9	19.7	32	0.615	265	1.87	1.04	0	0.02	0.11
Philip Rivers	SD	15.8	23.8	36.7	0.648	276	1.95	1.37	2	0.01	0.31
Josh Freeman	TB	14.3	20.2	34.6	0.582	244	1.26	1.1	16	0.12	0.3
Ben Roethlisberger	PIT	14.2	18.9	34.6	0.546	250	1.36	0.72	7	0.04	0.35
Andy Dalton	CIN	14.2	21.1	35.9	0.59	257	1.17	0.88	11	0.06	0.21
Andrew Luck	IND	14	22.4	33.8	0.662	229	1.25	0.91	14	0.12	0.23
Matt Schaub	HOU	13.2	21	33.1	0.634	236	1.24	0.49	0	0.01	0.13
Alex Smith	SF	13.2	17.4	27.8	0.627	202	1.26	0.37	9	0.08	0.29
Matt Cassel	KC	13	20.4	36.4	0.562	230	1.1	0.8	12	0.05	0.27
Russell Wilson	SEA	12.4	17.4	30.6	0.567	202	0.96	1.26	24	0.22	0.4
Jay Cutler	CHI	12.3	16	28	0.571	200	1.12	0.72	13	0.13	0.37
Ryan Fitzpatrick	BUF	12.1	17	31.1	0.549	190	1.34	1.28	18	0.08	0.29
Christian Ponder	MIN	11.5	19.9	33.2	0.598	221	0.86	0.94	15	0.06	0.39
Kevin Kolb	ARI	10.8	19.4	34.4	0.563	223	1.15	1.18	7	0.04	0.66
Mark Sanchez	NYJ	10.7	16.3	31.6	0.516	196	0.95	0.8	7	0.09	0.31
Carson Palmer	OAK	10.1	18.8	33.2	0.565	211	0.92	1.07	3	0.02	0.14
Brandon Weeden	CLE	10	19.6	34.4	0.569	204	1.04	1.41	5	0.06	0.21
Blaine Gabbert	JAC	9.5	17.7	29.7	0.595	184	0.8	0.49	8	0.04	0.56
Sam Bradford	STL	9.4	22.9	37	0.621	206	0.85	0.88	3	0.02	0.44
Ryan Tannehill	MIA	8.3	15.8	31.3	0.507	163	0.61	1.21	14	0.16	0.31
