PLAYER	TEAM	FP	FGM	FGA	FG0-39	FG40-49	FG50	XPM	XPA
Dan Bailey	DAL	10.2	2.14	2.49	1.44	0.57	0.12	3.41	3.46
Garrett Hartley	NO	9.9	2.1	2.36	1.31	0.62	0.18	3.06	3.1
Stephen Gostkowski	NE	9.8	2.1	2.47	1.38	0.56	0.16	2.98	3.03
Alex Henery	PHI	9.5	2.03	2.37	1.36	0.53	0.14	2.98	3.02
Shayne Graham	HOU	9.1	1.93	2.39	1.36	0.45	0.12	2.95	3
Robbie Gould	CHI	9.1	1.86	2.28	1.13	0.49	0.25	2.74	2.78
Shaun Suisham	PIT	9.1	2.16	2.59	1.45	0.57	0.14	2.2	2.24
Mason Crosby	GB	9.1	1.63	1.95	1.07	0.41	0.16	3.75	3.8
Jay Feely	ARI	9	2.03	2.47	1.27	0.55	0.22	2.3	2.33
Matt Bryant	ATL	9	1.81	2.03	1.11	0.53	0.16	3.04	3.09
Connor Barth	TB	8.8	2.02	2.27	1.3	0.57	0.15	2.32	2.36
Nate Kaeding	SD	8.5	1.84	2.13	1.19	0.5	0.15	2.56	2.6
Jason Hanson	DET	8.4	1.62	1.94	1.03	0.45	0.14	3.09	3.14
Matt Prater	DEN	8.4	1.64	2.05	1.05	0.42	0.16	2.96	3
Justin Tucker	BAL	8.3	1.7	2.04	1.13	0.44	0.14	2.85	2.89
Rian Lindell	BUF	8.2	1.61	1.95	1.05	0.39	0.17	2.81	2.85
Mike Nugent	CIN	8.2	1.78	2.08	1.14	0.48	0.16	2.41	2.44
Lawrence Tynes	NYG	8.1	1.44	1.86	1.06	0.29	0.09	3.48	3.54
Sebastian Janikowski	OAK	8	1.81	2.12	1.22	0.43	0.16	2.07	2.1
Justin Medlock	CAR	8	1.62	2.01	1.1	0.37	0.14	2.71	2.75
Adam Vinatieri	IND	7.9	1.67	1.91	1.01	0.5	0.16	2.42	2.46
Ryan Succop	KC	7.9	1.75	2.16	1.21	0.4	0.13	2.24	2.28
Dan Carpenter	MIA	7.8	1.81	2.17	1.15	0.48	0.17	1.85	1.88
David Akers	SF	7.7	1.71	2.02	1.1	0.46	0.14	2.17	2.2
Josh Scobee	JAC	7.7	1.82	2.08	1.11	0.54	0.17	1.75	1.78
Rob Bironas	TEN	7.6	1.78	2	1.02	0.59	0.16	1.8	1.82
Billy Cundiff	WAS	7.5	1.54	1.88	1.08	0.34	0.12	2.54	2.58
Steve Hauschka	SEA	7.4	1.65	1.98	1.02	0.48	0.16	1.98	2.01
Greg Zuerlein	STL	7.2	1.71	2.13	1.17	0.41	0.12	1.64	1.67
Phil Dawson	CLE	7	1.6	1.8	0.9	0.51	0.18	1.63	1.66
Nick Folk	NYJ	7	1.41	1.8	0.94	0.34	0.13	2.43	2.47
Blair Walsh	MIN	6.3	1.38	1.7	0.83	0.41	0.14	1.75	1.78
John Kasay	NO	0	0	0	0	0	0	0	0
Olindo Mare	CAR	0	0	0	0	0	0	0	0
Ryan Longwell	MIN	0	0	0	0	0	0	0	0
Josh Brown	NYJ	0	0	0	0	0	0	0	0
Nick Novak	SD	0	0	0	0	0	0	0	0
Rhys Lloyd	NYG	0	0	0	0	0	0	0	0
Brandon Coutu	JAC	0	0	0	0	0	0	0	0
David Buehler	DAL	0	0	0	0	0	0	0	0
Graham Gano	WAS	0	0	0	0	0	0	0	0
Randy Bullock	HOU	0	0	0	0	0	0	0	0
John Potter	BUF	0	0	0	0	0	0	0	0
