PLAYER	TEAM	FP	RUSH	RUSHYD	YPC	RUSHTD	REC	RECYD	RECTD	FUML
LeSean McCoy	PHI	18.4	16.5	86	5.2	0.98	4.2	30	0.23	0.18
Arian Foster	HOU	18.4	20.5	90	4.39	0.8	4.9	38	0.22	0.22
Adrian Peterson	MIN	17.6	17	95	5.58	1.08	2.1	15	0.08	0.18
Ray Rice	BAL	16.5	17.9	86	4.82	0.68	4	33	0.15	0.18
Maurice Jones-Drew	JAC	16.3	21.1	105	4.97	0.55	3.5	21	0.16	0.23
Marshawn Lynch	SEA	16	19	95	4.99	0.88	1.7	13	0.05	0.17
Stevan Ridley	NE	14.7	19.7	100	5.09	0.66	1	7	0.06	0.18
Ryan Mathews	SD	14.5	17.6	76	4.31	0.61	3.5	31	0.13	0.28
Reggie Bush	MIA	14.3	15.6	80	5.14	0.61	3.8	22	0.12	0.18
Doug Martin	TB	14	16.4	69	4.24	0.56	3.4	30	0.17	0.17
DeMarco Murray	DAL	13.3	17.7	81	4.58	0.42	3.3	24	0.12	0.2
Frank Gore	SF	12.8	16.8	75	4.5	0.63	1.8	14	0.07	0.16
Darren Sproles	NO	12.4	4.4	22	4.94	0.19	6.2	52	0.39	0.18
Matt Forte	CHI	12.3	13.3	63	4.72	0.44	3.2	30	0.12	0.15
BenJarvus Green-Ellis	CIN	12.3	15.4	74	4.77	0.73	0.7	7	0.03	0.14
Ahmad Bradshaw	NYG	12.1	16	61	3.84	0.47	3.1	25	0.15	0.17
Darren McFadden	OAK	11	14.9	49	3.31	0.41	4	32	0.13	0.16
Willis McGahee	DEN	10.6	16.1	65	4.05	0.49	1.3	8	0.12	0.2
Rashard Mendenhall	PIT	10.4	13.6	58	4.29	0.6	1	8	0.05	0.13
Shonn Greene	NYJ	9.9	16.4	63	3.85	0.36	1.7	13	0.07	0.16
Michael Turner	ATL	9.6	13.9	60	4.36	0.48	0.8	7	0.03	0.11
Steven Jackson	STL	9.3	15.3	45	2.95	0.23	3.5	29	0.14	0.17
C.J. Spiller	BUF	9.3	8.7	39	4.54	0.28	3.3	25	0.16	0.18
Michael Bush	CHI	9.1	9.7	45	4.6	0.43	1.9	19	0.07	0.11
Fred Jackson	BUF	8.8	9.9	40	4.04	0.22	3.2	29	0.14	0.11
Jonathan Stewart	CAR	8.8	9.3	40	4.29	0.25	3.2	27	0.13	0.11
DeAngelo Williams	CAR	8.7	9.8	48	4.88	0.43	1.5	12	0.06	0.11
Pierre Thomas	NO	8.7	7.2	34	4.7	0.28	3.5	28	0.15	0.11
Kevin Smith	DET	8	8	25	3.13	0.2	2.3	24	0.35	0.11
Donald Brown	IND	8	14	44	3.17	0.33	2.1	15	0.08	0.14
Mark Ingram	NO	7.5	12.3	45	3.66	0.41	1.1	5	0.04	0.1
Chris Johnson	TEN	7.2	14.8	36	2.4	0.24	2.9	21	0.08	0.17
Rashad Jennings	JAC	6.7	5.9	37	6.34	0.26	1.8	12	0.06	0.07
Ben Tate	HOU	6.6	9.3	41	4.39	0.27	1.4	9	0.04	0.11
Kendall Hunter	SF	6.4	8.2	38	4.58	0.27	0.9	9	0.05	0.08
Jamaal Charles	KC	6.3	10.6	36	3.37	0.14	2	16	0.09	0.13
Knowshon Moreno	DEN	5.2	4.8	19	3.85	0.1	1.9	19	0.18	0.09
Toby Gerhart	MIN	5.2	5.9	25	4.18	0.14	1.6	13	0.11	0.06
Isaac Redman	PIT	4.7	6.7	28	4.14	0.18	1.1	7	0.05	0.07
Mikel LeShoure	DET	4.6	6.7	25	3.69	0.2	0.8	7	0.06	0.08
Bernard Scott	CIN	4.5	7.2	27	3.8	0.2	1	5	0.05	0.08
Lamar Miller	MIA	4.4	5.4	25	4.74	0.23	0.6	4	0.02	0.06
Peyton Hillis	KC	4.3	10	25	2.54	0.12	1.6	10	0.05	0.13
Danny Woodhead	NE	4.3	4.4	22	5.02	0.13	1.1	9	0.05	0.06
Robert Turbin	SEA	4.3	5.3	23	4.24	0.17	0.9	9	0.03	0.04
Bernard Pierce	BAL	4.2	5.2	24	4.57	0.2	0.6	5	0.03	0.05
Jacquizz Rodgers	ATL	4	2.8	10	3.75	0.05	1.6	13	0.09	0.07
Jahvid Best	DET	3.8	3.9	9	2.4	0.08	2.3	19	0.11	0.06
Daryl Richardson	STL	3.7	6.6	22	3.29	0.15	0.7	6	0.03	0.07
Jason Snelling	ATL	3.5	2.7	10	3.63	0.04	2.2	17	0.11	0.04
Marcel Reece	OAK	3.5	2.7	8	2.97	0.04	2.1	22	0.08	0.1
David Wilson	NYG	3.4	4.3	17	4.05	0.13	0.6	5	0.02	0.11
Mike Goodson	OAK	3.3	3.6	10	2.87	0.08	1.7	14	0.08	0.07
Shaun Draughn	KC	3.3	3.4	17	5.13	0.16	0.6	5	0.03	0.04
Felix Jones	DAL	3.1	3.4	13	3.73	0.06	0.8	6	0.02	0.13
Bryce Brown	PHI	3.1	3.7	15	4.12	0.14	0.6	6	0.04	0.08
Jonathan Dwyer	PIT	3	5.6	19	3.35	0.1	0.5	4	0.03	0.06
LeGarrette Blount	TB	3	4.3	18	4.08	0.11	0.7	6	0.03	0.08
Daniel Thomas	MIA	2.8	5.7	18	3.23	0.11	0.4	3	0.02	0.05
Mike Tolbert	CAR	2.7	0.7	3	3.94	0.03	2	16	0.12	0.03
Lance Ball	DEN	2.6	5.1	17	3.4	0.1	0.1	1	0.01	0.07
Chris Rainey	PIT	2.5	1.3	6	4.53	0.05	1	10	0.08	0.04
LaMichael James	SF	2.4	1.8	9	5	0.07	0.7	7	0.04	0.03
Vick Ballard	IND	2.3	3.4	12	3.45	0.07	0.6	6	0.03	0.04
Andre Brown	NYG	2.3	3	13	4.27	0.13	0.1	1	0	0.04
Leon Washington	SEA	2.2	0.5	2	4.06	0.01	0.2	1	0	0.09
Brian Leonard	CIN	2.1	1.4	7	5.03	0.03	1.2	10	0.05	0.02
Bilal Powell	NYJ	2	5.3	13	2.42	0.06	0.6	5	0.02	0.14
Joe McKnight	NYJ	1.8	0.5	2	2.89	0.01	0.5	5	0.02	0.06
Jorvorskie Lane	MIA	1.6	1	5	4.72	0.04	0.9	6	0.04	0.02
Ronnie Brown	SD	1.5	3.1	10	3.19	0.07	0.1	1	0.01	0.02
LeRon McClain	SD	1.5	0.7	2	3.24	0.03	1.2	8	0.06	0.02
Stanley Havili	PHI	1.5	0.2	1	4.22	0.01	0.4	12	0.02	0
Phillip Tanner	DAL	1.4	1.2	4	3.89	0.03	0.6	5	0.04	0.02
Isaiah Pead	STL	1.4	0.4	1	3.16	0.01	0.2	2	0.01	0.06
Joique Bell	DET	1.4	1.1	3	2.43	0.04	0.6	8	0.03	0.02
Marcus Thigpen	MIA	1.4	0	0	0	0	0	0	0	0.05
D.J. Ware	TB	1.3	0.5	2	3.01	0.01	1	7	0.06	0.02
Stefan Logan	DET	1.2	0	0	0	0	0	0	0	0.27
Taiwan Jones	OAK	1.2	1.2	5	4	0.03	0.1	0	0	0.04
Tashard Choice	BUF	1	0.6	1	2.52	0	1	7	0.03	0.03
Curtis Brinkley	SD	1	2.8	7	2.58	0.05	0	0	0	0.03
Vonta Leach	BAL	0.9	0.3	1	3.68	0.02	0.8	5	0.04	0.01
Bear Pascoe	NYG	0.9	0	0	0	0	0.7	6	0.04	0.01
Bruce Miller	SF	0.9	0	0	1.19	0	0.6	6	0.05	0.02
Anthony Allen	BAL	0.9	2.1	7	3.27	0.03	0.1	1	0.01	0.02
Michael Robinson	SEA	0.8	0.1	0	3.44	0	0.6	5	0.05	0.02
Javon Ringer	TEN	0.8	2.6	5	2	0.03	0.2	1	0.01	0.02
Michael Smith	TB	0.8	0	0	0	0	0	0	0	0.02
Jalen Parmele	JAC	0.7	0	0	0	0	0	0	0	0.02
Shane Vereen	NE	0.7	0.7	3	5.01	0.05	0.2	1	0.01	0.01
Delone Carter	IND	0.7	2.1	5	2.23	0.03	0.2	1	0.01	0.04
Cedric Peerman	CIN	0.7	0.4	2	3.81	0.01	0.4	4	0.02	0
Brandon Jacobs	SF	0.6	0.8	3	4.27	0.03	0.1	0	0	0.01
Kregg Lumpkin	SEA	0.6	0.3	1	3.14	0	0.5	4	0.02	0.01
Kahlil Bell	CHI	0.6	0.3	1	3.67	0	0.4	3	0.03	0.02
Erik Lorig	TB	0.6	0	0	0	0	0.6	4	0.03	0
Mewelde Moore	IND	0.5	0.5	1	3.17	0.01	0.4	3	0.01	0.02
Jerome Felton	MIN	0.5	0.5	2	3.33	0.01	0.3	3	0.01	0.01
Brandon Bolden	NE	0.5	0.7	2	3.28	0.02	0.2	1	0.01	0.01
Greg Jones	JAC	0.4	0.1	0	4.78	0	0.6	2	0.02	0.01
Justin Forsett	HOU	0.4	0.5	2	3.99	0.02	0.1	1	0	0
Lousaka Polite	ATL	0.4	0.1	0	3.02	0	0.4	3	0.01	0
Matt Asiata	MIN	0.4	0	0	0	0	0	0	0	0.02
Lawrence Vickers	DAL	0.3	0.1	0	0.27	0	0.3	2	0.01	0
Montell Owens	JAC	0.3	0.4	2	4.64	0	0.1	0	0	0
Quinn Johnson	TEN	0.3	0	0	0	0	0.3	3	0.01	0
Brit Miller	STL	0.3	0	0	2.63	0	0.2	3	0	0
Keiland Williams	DET	0.3	0.4	1	2.57	0.01	0.1	1	0.01	0
Jamie Harper	TEN	0.3	0.8	2	2.12	0.02	0	0	0	0.02
Dion Lewis	PHI	0.3	0.3	2	4.81	0.01	0.1	0	0.01	0
DaRel Scott	NYG	0.3	0	0	0	0	0	0	0	0.04
Jeff Demps	NE	0.3	0	0	0	0	0	0	0	0.01
Tyler Clutts	HOU	0.3	0	0	0	0	0.6	3	0.01	0.02
John Conner	NYJ	0.2	0.1	0	3.36	0	0.1	1	0.01	0
Chris Pressley	CIN	0.2	0	0	-1.23	0	0.2	1	0.01	0
Armando Allen	CHI	0.2	0.2	1	3.35	0	0.1	1	0.01	0
Corey McIntyre	BUF	0.1	0	0	1.57	0	0.1	1	0	0.01
Owen Schmitt	OAK	0.1	0	0	0	0	0.1	0	0	0
Cedric Benson	GB	0	0	0	0	0	0	0	0	0
John Kuhn	GB	0	0	0	0	0	0	0	0	0
Brandon Jackson	CLE	0	0	0	0	0	0	0	0	0
Korey Hall	NO	0	0	0	0	0	0	0	0	0
Jackie Battle	SD	0	0	0	0	0	0	0	0	0
Jacob Hester	SD	0	0	0	0	0	0	0	0	0
Lex Hilliard	NE	0	0	0	0	0	0	0	0	0
Beanie Wells	ARI	0	0	0	0	0	0	0	0	0
Chris Ogbonnaya	CLE	0	0	0	0	0	0	0	0	0
LaRod Stephens-Howling	ARI	0	0	0	0	0	0	0	0	0
James Starks	GB	0	0	0	0	0	0	0	0	0
Chris Gronkowski	DEN	0	0	0	0	0	0	0	0	0
Ryan Williams	ARI	0	0	0	0	0	0	0	0	0
Alex Green	GB	0	0	0	0	0	0	0	0	0
Roy Helu	WAS	0	0	0	0	0	0	0	0	0
Owen Marecic	CLE	0	0	0	0	0	0	0	0	0
Johnny White	BUF	0	0	0	0	0	0	0	0	0
Anthony Sherman	ARI	0	0	0	0	0	0	0	0	0
Evan Royster	WAS	0	0	0	0	0	0	0	0	0
Brandon Saine	GB	0	0	0	0	0	0	0	0	0
Trent Richardson	CLE	0	0	0	0	0	0	0	0	0
Alfred Morris	WAS	0	0	0	0	0	0	0	0	0
Dorin Dickerson	BUF	0	0	0	0	0	0	0	0	0
Richie Brockel	CAR	0	0	0	0	0	0.1	0	0	0
Henry Hynoski	NYG	0	0	0	0	0	0	0	0	0
Darrel Young	WAS	0	0	0	0	0	0	0	0	0
Will Johnson	PIT	0	0	0	0	0	0	0	0	0
