PLAYER	TEAM	FP	FGM	FGA	FG0-39	FG40-49	FG50	XPM	XPA
Mason Crosby	GB	10.5	1.97	2.34	1.29	0.52	0.16	4.15	4.22
Stephen Gostkowski	NE	10	2	2.32	1.34	0.52	0.15	3.54	3.59
Garrett Hartley	NO	10	1.88	2.14	1.09	0.58	0.21	3.71	3.77
Matt Bryant	ATL	9.8	2.08	2.33	1.25	0.63	0.2	3.02	3.07
Nate Kaeding	SD	9.3	1.92	2.22	1.2	0.56	0.16	3.05	3.09
Justin Tucker	BAL	9.3	1.99	2.38	1.29	0.54	0.17	2.83	2.87
Lawrence Tynes	NYG	9.2	1.82	2.42	1.3	0.38	0.15	3.22	3.27
David Akers	SF	8.9	1.73	2.13	1.09	0.47	0.17	3.2	3.24
Jay Feely	ARI	8.9	2.02	2.44	1.31	0.49	0.23	2.21	2.24
Justin Medlock	CAR	8.8	1.88	2.26	1.29	0.41	0.18	2.63	2.67
Shayne Graham	HOU	8.7	1.93	2.39	1.3	0.46	0.17	2.39	2.43
Billy Cundiff	WAS	8.7	1.91	2.33	1.34	0.45	0.12	2.59	2.63
Shaun Suisham	PIT	8.6	1.73	2.14	1.13	0.46	0.15	2.9	2.95
Robbie Gould	CHI	8.3	1.84	2.19	1.14	0.51	0.18	2.21	2.24
Mike Nugent	CIN	8.2	1.88	2.17	1.2	0.51	0.16	2.1	2.13
Alex Henery	PHI	8.1	1.72	2.08	1.08	0.46	0.19	2.38	2.42
Rob Bironas	TEN	8	1.79	2	1.08	0.53	0.18	2.09	2.12
Steve Hauschka	SEA	7.8	1.63	1.93	1.03	0.42	0.18	2.39	2.43
Blair Walsh	MIN	7.8	1.63	1.94	1.06	0.42	0.15	2.46	2.49
Matt Prater	DEN	7.7	1.51	1.84	1.02	0.35	0.14	2.79	2.83
Greg Zuerlein	STL	7.6	1.78	2.21	1.22	0.43	0.12	1.84	1.86
Dan Carpenter	MIA	7.4	1.69	1.98	1.12	0.43	0.15	1.86	1.89
Nick Folk	NYJ	7.2	1.44	1.88	0.95	0.34	0.15	2.43	2.46
Adam Vinatieri	IND	7.1	1.48	1.66	0.87	0.46	0.15	2.2	2.23
Phil Dawson	CLE	7	1.57	1.82	0.9	0.49	0.18	1.7	1.72
Rian Lindell	BUF	6.5	1.32	1.62	0.8	0.39	0.13	2.14	2.17
Josh Scobee	JAC	6.4	1.51	1.74	0.92	0.45	0.15	1.44	1.46
Ryan Succop	KC	6.2	1.38	1.67	0.96	0.32	0.1	1.79	1.82
John Kasay	NO	0	0	0	0	0	0	0	0
Jason Hanson	DET	0	0	0	0	0	0	0	0
Olindo Mare	CAR	0	0	0	0	0	0	0	0
Ryan Longwell	MIN	0	0	0	0	0	0	0	0
Sebastian Janikowski	OAK	0	0	0	0	0	0	0	0
Josh Brown	NYJ	0	0	0	0	0	0	0	0
Nick Novak	SD	0	0	0	0	0	0	0	0
Rhys Lloyd	NYG	0	0	0	0	0	0	0	0
Brandon Coutu	JAC	0	0	0	0	0	0	0	0
Connor Barth	TB	0	0	0	0	0	0	0	0
David Buehler	DAL	0	0	0	0	0	0	0	0
Graham Gano	WAS	0	0	0	0	0	0	0	0
Dan Bailey	DAL	0	0	0	0	0	0	0	0
Randy Bullock	HOU	0	0	0	0	0	0	0	0
John Potter	BUF	0	0	0	0	0	0	0	0
