PLAYER	TEAM	FP	COMP	ATT	CMP%	PASSYD	PASSTD	INT	RUSHYD	RUSHTD	FUML
Matt Ryan	ATL	32.46	23	31	0.742	299	3	0	25	1	0
Robert Griffin III	WAS	27	19	26	0.731	320	2	0	42	0	0
Tony Romo	DAL	23.48	22	29	0.759	307	3	1	12	0	0
Drew Brees	NO	21.56	24	52	0.462	339	3	2	0	0	0
Aaron Rodgers	GB	20.82	30	44	0.682	303	2	1	27	0	0
Mark Sanchez	NYJ	20.64	19	27	0.704	266	3	1	0	0	0
Jay Cutler	CHI	18.92	21	35	0.6	333	2	1	-4	0	0
Peyton Manning	DEN	18.42	19	26	0.731	253	2	0	3	0	0
Ben Roethlisberger	PIT	18.2	22	40	0.55	245	2	1	4	0	0
Michael Vick	PHI	17.88	29	56	0.518	317	2	4	32	0	0
Alex Smith	SF	17.74	20	26	0.769	211	2	0	13	0	0
Tom Brady	NE	17.54	23	31	0.742	236	2	0	1	0	0
Blaine Gabbert	JAC	17	23	39	0.59	260	2	0	6	0	1
Matt Cassel	KC	16.32	21	33	0.636	258	1	2	20	1	1
Joe Flacco	BAL	15.1	19.1	31.3	0.609	240	1.61	0.51	5	0.05	0.33
Ryan Fitzpatrick	BUF	14.6	18	32	0.562	195	3	3	8	0	0
Cam Newton	CAR	14.52	23	33	0.697	303	1	2	4	0	0
Matt Schaub	HOU	14.44	20	31	0.645	266	1	0	-2	0	0
Philip Rivers	SD	13.8	18.2	32.9	0.554	234	1.74	1.02	3	0.02	0.42
Eli Manning	NYG	12.52	21	32	0.656	213	1	0	0	0	0
Matthew Stafford	DET	12.5	32	48	0.667	355	1	3	0	0	0
Sam Bradford	STL	12.22	17	25	0.68	198	1	0	3	0	0
Josh Freeman	TB	10.82	16	24	0.667	138	1	0	13	0	0
Andy Dalton	CIN	10.6	18.7	35.2	0.531	217	0.77	1.02	10	0.06	0.22
Jake Locker	TEN	10.26	23	32	0.719	229	1	1	11	0	1
Russell Wilson	SEA	10.12	18	34	0.529	153	1	1	20	0	1
Carson Palmer	OAK	9.4	17.3	29.4	0.588	192	1.01	1.26	3	0.03	0.14
Andrew Luck	IND	9.26	23	45	0.511	309	1	3	9	0	1
Christian Ponder	MIN	8.9	20	27	0.741	270	0	0	1	0	1
Kevin Kolb	ARI	6.54	6	8	0.75	66	1	0	-1	0	0
John Skelton	ARI	6.16	14	28	0.5	149	0	1	2	0	0
Ryan Tannehill	MIA	2.66	20	36	0.556	219	0	3	-1	0	0
Matt Hasselbeck	TEN	1.72	6	11	0.545	43	0	0	0	0	0
Colin Kaepernick	SF	1.7	0	0	0	0	0	0	17	0	0
Tim Tebow	NYJ	1.1	0	0	0	0	0	0	11	0	0
Matt Leinart	OAK	0.6	1	1.6	0.616	11	0.05	0.04	0	0	0.01
Charlie Whitehurst	SD	0.1	0.2	0.4	0.438	2	0.01	0.01	0	0	0.01
Bruce Gradkowski	CIN	0.1	0.2	0.6	0.415	3	0.01	0.02	0	0	0
Tyrod Taylor	BAL	0.1	0.1	0.2	0.771	2	0.01	0	0	0	0
David Carr	NYG	0	0	0	0	0	0	0	0	0	0
Shaun Hill	DET	0	0	0	0	0	0	0	0	0	0
Rex Grossman	WAS	0	0	0	0	0	0	0	0	0	0
Jason Campbell	CHI	0	0	0	0	0	0	0	0	0	0
Kyle Orton	DAL	0	0	0	0	0	0	0	0	0	0
Dan Orlovsky	TB	0	0	0	0	0	0	0	0	0	0
Derek Anderson	CAR	0	0	0	0	0	0	0	0	0	0
Tarvaris Jackson	BUF	0	0	0	0	0	0	0	0	0	0
Brady Quinn	KC	0	0	0	0	0	0	0	0	0	0
Drew Stanton	IND	0	0	0	0	0	0	0	0	0	0
Matt Moore	MIA	0	0	0	0	0	0	0	0	0	0
Chad Henne	JAC	0	0	0	0	0	0	0	0	0	0
Matt Flynn	SEA	0	0	0	0	0	0	0	0	0	0
Caleb Hanie	DEN	0	0	0	0	0	0	0	0	0	0
Chase Daniel	NO	0	0	0	0	0	0	0	0	0	0
Colt McCoy	CLE	0	0	0	0	0	0	0	0	0	0
Joe Webb	MIN	0	0	0	0	0	0	0	0	0	0
Ryan Mallett	NE	0	0	0	0	0	0	0	0	0	0
T.J. Yates	HOU	0	0	0	0	0	0	0	0	0	0
Greg McElroy	NYJ	0	0	0	0	0	0	0	0	0	0
Graham Harrell	GB	0	0	0	0	0	0	0	0	0	0
Nick Foles	PHI	0	0	0	0	0	0	0	0	0	0
Byron Leftwich	PIT	0	0	0	0	0	0	0	0	0	0
Austin Davis	STL	0	0	0	0	0	0	0	0	0	0
Luke McCown	ATL	0	0	0	0	0	0	0	0	0	0
Brandon Weeden	CLE	-0.78	12	35	0.343	118	0	4	25	0	0
