PLAYER	TEAM	FP	RUSH	RUSHYD	YPC	RUSHTD	REC	RECYD	RECTD	FUML
Adrian Peterson	MIN	17.6	16.8	95	5.67	1.09	1.8	14	0.08	0.16
LeSean McCoy	PHI	17.3	17.7	81	4.58	0.92	4.4	29	0.18	0.18
Darren McFadden	OAK	14.9	16.7	77	4.65	0.54	3.7	33	0.17	0.18
Ryan Mathews	SD	14.9	18.5	88	4.75	0.56	3.1	25	0.13	0.29
Trent Richardson	CLE	14.7	15.9	72	4.53	0.58	3.5	33	0.18	0.2
Willis McGahee	DEN	13.8	17.1	89	5.18	0.62	1.6	8	0.13	0.24
Maurice Jones-Drew	JAC	13.7	17.7	78	4.41	0.37	3.2	28	0.2	0.18
DeMarco Murray	DAL	13.3	18.9	78	4.16	0.38	3.5	26	0.15	0.16
Marshawn Lynch	SEA	12.9	16.8	74	4.37	0.62	2.3	17	0.08	0.18
Stevan Ridley	NE	12.5	18.7	82	4.39	0.57	1	9	0.06	0.21
Doug Martin	TB	12.3	16.1	58	3.62	0.49	3	27	0.2	0.17
Kevin Smith	DET	11.9	10.7	50	4.65	0.42	2.6	27	0.33	0.12
Ahmad Bradshaw	NYG	11.7	15	55	3.67	0.47	3.2	27	0.16	0.16
Steven Jackson	STL	11.6	15.8	62	3.92	0.33	3.8	29	0.15	0.19
Matt Forte	CHI	11.5	12.8	54	4.23	0.44	3.5	31	0.12	0.15
Chris Johnson	TEN	11.4	16.7	68	4.09	0.42	3.3	18	0.1	0.18
Reggie Bush	MIA	11.1	14.6	64	4.37	0.38	3.2	22	0.1	0.2
Darren Sproles	NO	11	3.8	19	5	0.14	6.1	50	0.27	0.17
Shonn Greene	NYJ	10.7	18	68	3.75	0.47	1.7	11	0.05	0.17
Frank Gore	SF	10.4	15	60	3.98	0.45	1.8	16	0.07	0.15
Rashard Mendenhall	PIT	10.1	13.3	57	4.26	0.58	1.1	9	0.05	0.13
Donald Brown	IND	10.1	13.9	61	4.41	0.41	2.1	14	0.06	0.14
Jamaal Charles	KC	9.6	12.6	57	4.55	0.29	1.8	16	0.13	0.13
Michael Turner	ATL	9	14.5	58	4.01	0.44	0.7	6	0.02	0.11
Michael Bush	CHI	8.9	9.7	42	4.32	0.43	2	19	0.06	0.09
Pierre Thomas	NO	8.2	6.4	31	4.91	0.25	3.4	27	0.16	0.09
Jonathan Stewart	CAR	7.8	8.7	37	4.2	0.19	3.2	23	0.14	0.11
Knowshon Moreno	DEN	7.4	5.3	25	4.62	0.16	2.2	26	0.26	0.12
DeAngelo Williams	CAR	7.2	9.1	41	4.48	0.35	1.4	10	0.05	0.1
Alfred Morris	WAS	7.2	13.5	46	3.42	0.34	0.8	6	0.03	0.13
Peyton Hillis	KC	7.1	11.2	44	3.9	0.26	1.5	9	0.08	0.14
Beanie Wells	ARI	6.7	11.8	43	3.63	0.32	0.7	5	0.02	0.1
Rashad Jennings	JAC	6.5	5.8	30	5.13	0.22	2	20	0.06	0.08
Mark Ingram	NO	6.3	10.7	38	3.55	0.32	1.1	7	0.03	0.1
Cedric Benson	GB	6.2	13.7	38	2.8	0.3	1	6	0.03	0.14
Mikel LeShoure	DET	6.1	9	36	3.97	0.28	0.9	7	0.05	0.1
Daryl Richardson	STL	5.9	6.9	35	5	0.28	0.7	7	0.04	0.06
Shaun Draughn	KC	5.7	4.1	31	7.5	0.33	0.7	6	0.03	0.04
Toby Gerhart	MIN	5.1	5.9	24	4.15	0.15	1.4	12	0.12	0.08
Kendall Hunter	SF	5.1	7.8	30	3.88	0.15	1.1	10	0.04	0.07
Isaac Redman	PIT	4.7	6.5	26	4.06	0.19	1.1	7	0.06	0.07
Mike Goodson	OAK	4.4	4.3	16	3.78	0.13	1.5	14	0.11	0.07
Ryan Williams	ARI	4.3	5.8	23	3.95	0.2	0.9	7	0.04	0.06
Marcel Reece	OAK	4	3	11	3.76	0.06	1.9	21	0.1	0.1
