PLAYER	TEAM	FP	FGM	FGA	FG0-39	FG40-49	FG50	XPM	XPA
Stephen Gostkowski	NE	10.6	2.14	2.57	1.35	0.52	0.27	3.36	3.42
Garrett Hartley	NO	10.6	2.01	2.29	1.19	0.6	0.22	3.92	3.98
Steve Hauschka	SEA	10.4	2.27	2.7	1.35	0.66	0.26	2.77	2.81
Matt Bryant	ATL	9.5	1.82	2.07	1.05	0.57	0.19	3.46	3.52
Shaun Suisham	PIT	9.5	2.15	2.69	1.5	0.5	0.15	2.6	2.64
David Akers	SF	9.4	1.95	2.38	1.32	0.48	0.15	3.06	3.11
Mason Crosby	GB	9.4	1.71	2.08	1.02	0.51	0.17	3.78	3.84
Dan Bailey	DAL	9.4	2.03	2.39	1.31	0.57	0.15	2.9	2.95
Nate Kaeding	SD	9	1.77	2.13	1.16	0.47	0.14	3.27	3.32
Rian Lindell	BUF	8.9	1.96	2.39	1.21	0.52	0.23	2.37	2.41
Alex Henery	PHI	8.8	1.91	2.16	1.2	0.56	0.15	2.56	2.6
Shayne Graham	HOU	8.7	1.81	2.2	1.25	0.43	0.13	2.92	2.97
Robbie Gould	CHI	8.7	1.87	2.22	1.27	0.48	0.12	2.7	2.74
Matt Prater	DEN	8.4	1.81	2.22	1.26	0.41	0.14	2.57	2.61
Ryan Succop	KC	8.3	1.84	2.24	1.27	0.42	0.16	2.26	2.3
Justin Medlock	CAR	8.2	1.74	2.11	1.26	0.37	0.11	2.7	2.74
Josh Scobee	JAC	8.1	1.95	2.22	1.23	0.54	0.18	1.68	1.7
Justin Tucker	BAL	8.1	1.74	2.12	1.14	0.44	0.15	2.39	2.43
Jason Hanson	DET	8	1.43	1.74	0.91	0.38	0.14	3.26	3.31
Sebastian Janikowski	OAK	7.9	1.73	2.03	1.11	0.49	0.13	2.32	2.35
Rob Bironas	TEN	7.9	1.67	1.89	0.98	0.52	0.18	2.39	2.42
Connor Barth	TB	7.9	1.82	2.05	1.17	0.51	0.14	2.04	2.07
Billy Cundiff	WAS	7.7	1.56	1.88	1.07	0.39	0.1	2.75	2.79
Lawrence Tynes	NYG	7.6	1.4	1.9	0.97	0.3	0.14	3	3.05
Mike Nugent	CIN	7.6	1.74	1.99	1.11	0.49	0.14	1.99	2.02
Adam Vinatieri	IND	7.2	1.49	1.69	0.84	0.49	0.17	2.26	2.29
Nick Folk	NYJ	7.1	1.44	1.86	0.94	0.37	0.14	2.32	2.36
Greg Zuerlein	STL	6.4	1.47	1.85	1.04	0.33	0.1	1.64	1.66
Blair Walsh	MIN	6.3	1.16	1.51	0.74	0.31	0.11	2.47	2.5
Phil Dawson	CLE	5.9	1.36	1.58	0.81	0.4	0.15	1.34	1.36
Dan Carpenter	MIA	5.9	1.33	1.6	0.84	0.37	0.12	1.54	1.56
Jay Feely	ARI	5.7	1.32	1.64	0.88	0.33	0.11	1.47	1.49
John Kasay	NO	0	0	0	0	0	0	0	0
Olindo Mare	CAR	0	0	0	0	0	0	0	0
Ryan Longwell	MIN	0	0	0	0	0	0	0	0
Neil Rackers	WAS	0	0	0	0	0	0	0	0
Josh Brown	NYJ	0	0	0	0	0	0	0	0
Nick Novak	SD	0	0	0	0	0	0	0	0
Rhys Lloyd	NYG	0	0	0	0	0	0	0	0
Brandon Coutu	JAC	0	0	0	0	0	0	0	0
David Buehler	DAL	0	0	0	0	0	0	0	0
Graham Gano	WAS	0	0	0	0	0	0	0	0
Randy Bullock	HOU	0	0	0	0	0	0	0	0
John Potter	BUF	0	0	0	0	0	0	0	0
