PLAYER	TEAM	FP	COMP	ATT	CMP%	PASSYD	PASSTD	INT	RUSHYD	RUSHTD	FUML
Aaron Rodgers	GB	27.6	23.9	32.7	0.732	311	3.06	0.56	27	0.26	0.13
Drew Brees	NO	23.6	29.3	41.2	0.711	350	2.84	0.93	3	0.02	0.14
Cam Newton	CAR	22.2	18.3	33.4	0.547	229	1.22	1.05	61	0.75	0.16
Tony Romo	DAL	22	25.9	37.9	0.685	316	2.55	0.58	4	0.05	0.19
Matt Ryan	ATL	21.1	25.7	40.9	0.628	328	2.38	0.95	5	0.04	0.18
Matthew Stafford	DET	20.8	25.5	39.5	0.646	313	2.53	1.15	5	0.05	0.16
Tom Brady	NE	19.7	24.4	35.4	0.69	284	2.35	0.76	4	0.07	0.18
Michael Vick	PHI	19.5	20.2	32.8	0.615	238	1.06	0.91	58	0.46	0.46
Jake Locker	TEN	16.6	18.5	37.1	0.497	264	1.57	1.31	15	0.17	0.05
Joe Flacco	BAL	15.8	20.9	34.4	0.608	263	1.8	0.78	4	0.03	0.43
Josh Freeman	TB	15.5	17.4	30.1	0.579	219	1.28	0.88	27	0.24	0.37
Matt Schaub	HOU	15.2	19	27.2	0.7	224	1.76	0.33	1	0.02	0.15
Ben Roethlisberger	PIT	14.7	19.7	32.4	0.607	247	1.43	0.62	8	0.05	0.39
Peyton Manning	DEN	14.3	20.1	30.3	0.663	255	1.34	0.58	0	0.02	0.11
Eli Manning	NYG	14.3	20.6	36.8	0.559	257	1.56	1	1	0.02	0.25
Robert Griffin III	WAS	14	19	35.8	0.532	222	1.19	1.35	26	0.21	0.42
Russell Wilson	SEA	13.9	17.2	29.4	0.586	217	1.04	0.94	24	0.22	0.36
Andrew Luck	IND	13.6	20.2	35.3	0.573	235	1.35	1.11	11	0.08	0.29
Philip Rivers	SD	12.7	19.5	35.8	0.545	240	1.52	1.34	1	0.03	0.32
Sam Bradford	STL	12.7	21.7	36.4	0.596	248	1.12	0.73	2	0.02	0.3
Mark Sanchez	NYJ	12.5	17.9	32.1	0.558	206	1.21	0.99	11	0.16	0.34
Alex Smith	SF	12.4	18.1	31.9	0.567	212	0.99	0.7	12	0.1	0.23
Matt Cassel	KC	12.3	19.4	29.4	0.66	192	1.02	0.58	16	0.1	0.25
Jay Cutler	CHI	12.2	17.4	30.3	0.574	218	0.98	0.45	10	0.06	0.45
Ryan Fitzpatrick	BUF	11.5	18.3	32.1	0.57	194	1.29	1.24	13	0.06	0.26
Andy Dalton	CIN	11.1	19.1	35.4	0.541	215	0.87	0.86	8	0.05	0.2
Brandon Weeden	CLE	10.7	19.4	34	0.57	215	0.99	0.95	4	0.03	0.25
Carson Palmer	OAK	9.7	17.9	30.1	0.596	203	0.95	1.2	3	0.04	0.14
Blaine Gabbert	JAC	9.7	18.3	31.7	0.578	203	0.9	0.88	6	0.04	0.58
John Skelton	ARI	9.2	18.1	34	0.533	185	0.84	1.38	14	0.07	0.27
Ryan Tannehill	MIA	8.6	17.2	31.1	0.554	168	0.84	1.45	13	0.14	0.3
Joe Webb	MIN	8	8.8	16.9	0.517	102	0.46	0.48	20	0.2	0.08
Christian Ponder	MIN	5.7	8.5	17	0.498	97	0.42	0.57	14	0.05	0.23
Tim Tebow	NYJ	3.8	1.4	3.1	0.437	16	0.11	0.07	20	0.18	0.13
Dan Orlovsky	TB	0.6	1	1.6	0.592	13	0.07	0.03	0	0	0.04
