PLAYER	TEAM	FP	COMP	ATT	CMP%	PASSYD	PASSTD	INT	RUSHYD	RUSHTD	FUML
Aaron Rodgers	GB	25.9	23.3	35.1	0.665	325	2.88	0.84	22	0.21	0.15
Cam Newton	CAR	21.9	20.8	34.7	0.6	257	1.32	1.08	50	0.65	0.19
Matthew Stafford	DET	21.2	24.8	37.9	0.655	295	2.6	0.74	6	0.05	0.17
Tony Romo	DAL	20.3	23	32.8	0.701	295	2.45	0.78	4	0.05	0.19
Drew Brees	NO	20.2	26.7	38.4	0.695	310	2.47	1.2	4	0.03	0.16
Michael Vick	PHI	19.7	17.7	31.2	0.568	232	1.25	0.83	56	0.42	0.54
Matt Ryan	ATL	18.3	23.4	39.6	0.591	289	2.02	0.92	5	0.05	0.18
Jake Locker	TEN	18.2	20.6	36	0.573	262	1.48	0.98	21	0.3	0.07
Eli Manning	NYG	17.6	22.4	35.7	0.628	281	2.1	0.98	2	0.04	0.24
Philip Rivers	SD	17.3	24	37.2	0.645	292	2.12	1.31	2	0.02	0.28
Joe Flacco	BAL	17.3	22.3	35.6	0.626	285	1.88	0.79	5	0.05	0.4
Russell Wilson	SEA	17.2	18.6	32.4	0.574	248	1.58	1.33	27	0.27	0.37
Tom Brady	NE	17.1	23.7	38.5	0.614	283	1.73	0.82	4	0.07	0.17
Josh Freeman	TB	16.6	19.9	34	0.584	268	1.42	1.06	19	0.17	0.3
Peyton Manning	DEN	15.9	22.2	33.7	0.659	291	1.5	0.75	0	0.01	0.15
Robert Griffin III	WAS	15.6	19.6	34.6	0.566	228	1.07	0.93	31	0.3	0.42
Andrew Luck	IND	15.5	22.7	33.9	0.671	239	1.57	1	13	0.12	0.23
Matt Schaub	HOU	14.5	19.7	31.7	0.621	232	1.59	0.48	1	0.01	0.18
Andy Dalton	CIN	13.9	20.7	35.4	0.585	247	1.11	0.86	13	0.07	0.21
Jay Cutler	CHI	13.7	16.5	27.9	0.593	204	1.23	0.47	15	0.16	0.45
Ben Roethlisberger	PIT	12.8	18.1	34	0.532	229	1.28	0.78	7	0.03	0.37
Alex Smith	SF	12.7	17.8	29	0.616	204	1.14	0.43	10	0.08	0.32
Ryan Fitzpatrick	BUF	12.4	18.2	32.3	0.562	197	1.36	1.18	17	0.06	0.32
Matt Cassel	KC	12.3	19.1	34.6	0.552	217	1.05	0.81	12	0.06	0.27
Brandon Weeden	CLE	10.2	19.8	33.3	0.594	206	1.02	1.3	6	0.07	0.26
