PLAYER	TEAM	FP	FGM	FGA	FG0-39	FG40-49	FG50	XPM	XPA
Garrett Hartley	NO	10.2	1.95	2.19	1.13	0.62	0.2	3.78	3.84
Robbie Gould	CHI	10.1	2.17	2.65	1.38	0.53	0.26	2.82	2.86
Dan Bailey	DAL	10	2.02	2.34	1.34	0.51	0.17	3.37	3.42
Alex Henery	PHI	9.9	2.18	2.58	1.43	0.54	0.2	2.72	2.76
Nate Kaeding	SD	9.7	2.11	2.43	1.34	0.58	0.19	2.77	2.82
Mike Nugent	CIN	9.4	2.21	2.55	1.47	0.57	0.17	2.31	2.35
Mason Crosby	GB	9.4	1.92	2.27	1.29	0.48	0.15	3.17	3.22
Justin Tucker	BAL	8.9	1.83	2.21	1.2	0.47	0.16	2.92	2.97
Jason Hanson	DET	8.7	1.69	2.02	1.08	0.47	0.14	3.21	3.26
Rian Lindell	BUF	8.6	1.79	2.16	1.11	0.48	0.2	2.6	2.64
Rob Bironas	TEN	8.5	1.9	2.14	1.19	0.54	0.17	2.29	2.32
Adam Vinatieri	IND	8.4	1.88	2.14	1.1	0.58	0.2	2.16	2.19
David Akers	SF	8.4	1.82	2.18	1.11	0.51	0.2	2.34	2.37
Shaun Suisham	PIT	8.4	1.89	2.27	1.27	0.46	0.16	2.23	2.26
Shayne Graham	HOU	8.3	1.82	2.25	1.26	0.43	0.12	2.5	2.53
Justin Medlock	CAR	8.3	1.67	2.05	1.15	0.37	0.15	2.84	2.89
Matt Bryant	ATL	8.2	1.63	1.84	0.95	0.53	0.16	2.82	2.87
Lawrence Tynes	NYG	8.2	1.6	2.12	1.13	0.34	0.13	2.98	3.02
Stephen Gostkowski	NE	8.2	1.76	2.07	1.18	0.44	0.14	2.49	2.52
Matt Prater	DEN	8.2	1.67	2.07	1.17	0.37	0.13	2.77	2.81
Billy Cundiff	WAS	8.1	1.7	2.1	1.16	0.43	0.12	2.59	2.63
Phil Dawson	CLE	8	1.75	2	1.04	0.53	0.18	2.16	2.19
Ryan Succop	KC	8	1.76	2.13	1.21	0.42	0.13	2.33	2.37
Dan Carpenter	MIA	7.9	1.84	2.18	1.18	0.5	0.16	1.97	2
Sebastian Janikowski	OAK	7.8	1.87	2.19	1.21	0.5	0.15	1.77	1.79
Josh Scobee	JAC	7.4	1.77	2.02	1.1	0.5	0.17	1.57	1.6
Steve Hauschka	SEA	7.4	1.5	1.81	0.92	0.4	0.18	2.38	2.41
Jay Feely	ARI	7.3	1.49	1.82	0.91	0.42	0.17	2.29	2.32
Connor Barth	TB	7.2	1.55	1.74	0.92	0.49	0.14	2.1	2.13
Nick Folk	NYJ	7	1.51	1.9	1.01	0.35	0.15	2.03	2.06
Blair Walsh	MIN	7	1.61	1.92	1.04	0.43	0.14	1.74	1.77
Greg Zuerlein	STL	5.7	1.28	1.63	0.83	0.35	0.1	1.52	1.54
John Kasay	NO	0	0	0	0	0	0	0	0
Olindo Mare	CAR	0	0	0	0	0	0	0	0
Ryan Longwell	MIN	0	0	0	0	0	0	0	0
Josh Brown	NYJ	0	0	0	0	0	0	0	0
Nick Novak	SD	0	0	0	0	0	0	0	0
Rhys Lloyd	NYG	0	0	0	0	0	0	0	0
Brandon Coutu	JAC	0	0	0	0	0	0	0	0
David Buehler	DAL	0	0	0	0	0	0	0	0
Graham Gano	WAS	0	0	0	0	0	0	0	0
Randy Bullock	HOU	0	0	0	0	0	0	0	0
John Potter	BUF	0	0	0	0	0	0	0	0
