PLAYER	TEAM	FP	FGM	FGA	FG0-39	FG40-49	FG50	XPM	XPA
Alex Henery	PHI	10.3	2.14	2.48	1.48	0.5	0.16	3.4	3.45
Mike Nugent	CIN	9.8	2.32	2.68	1.47	0.63	0.22	2.15	2.19
Dan Carpenter	MIA	9.8	2.31	2.76	1.5	0.63	0.19	2.33	2.37
Nate Kaeding	SD	9.6	1.96	2.26	1.26	0.53	0.18	3.23	3.28
Stephen Gostkowski	NE	9.4	2.01	2.35	1.38	0.47	0.16	2.93	2.97
Billy Cundiff	WAS	8.9	1.86	2.29	1.29	0.42	0.15	2.88	2.92
Shaun Suisham	PIT	8.9	2.08	2.48	1.43	0.49	0.16	2.18	2.21
Mason Crosby	GB	8.6	1.66	2.01	1.09	0.44	0.12	3.3	3.35
Sebastian Janikowski	OAK	8.5	2.02	2.35	1.39	0.51	0.12	2.01	2.04
Rian Lindell	BUF	8.5	1.76	2.12	1.12	0.44	0.2	2.56	2.6
Matt Bryant	ATL	8.5	1.63	1.85	0.94	0.49	0.2	3.01	3.05
Nick Folk	NYJ	8.5	1.72	2.22	1.18	0.39	0.16	2.89	2.93
Connor Barth	TB	8.5	1.83	2.07	1.09	0.54	0.2	2.4	2.44
Jason Hanson	DET	8.4	1.59	1.91	1.04	0.41	0.14	3.25	3.3
David Akers	SF	8.4	1.66	2	1.03	0.45	0.18	2.93	2.98
Shayne Graham	HOU	8.4	1.66	1.97	1.16	0.38	0.12	3.12	3.17
Ryan Succop	KC	8.3	1.82	2.28	1.26	0.41	0.14	2.42	2.46
Justin Tucker	BAL	8.3	1.61	1.94	1.06	0.41	0.14	3.04	3.09
Dan Bailey	DAL	7.9	1.7	1.99	1.12	0.44	0.14	2.37	2.41
Blair Walsh	MIN	7.9	1.77	2.09	1.17	0.47	0.13	2.22	2.25
Matt Prater	DEN	7.7	1.43	1.82	0.96	0.33	0.14	2.98	3.03
Phil Dawson	CLE	7.6	1.7	1.93	1	0.52	0.17	1.99	2.02
Steve Hauschka	SEA	7.6	1.54	1.9	0.95	0.43	0.16	2.52	2.56
Jay Feely	ARI	7.5	1.52	1.85	0.93	0.38	0.2	2.4	2.43
Lawrence Tynes	NYG	7.3	1.51	1.99	1.06	0.35	0.1	2.43	2.47
Adam Vinatieri	IND	7.1	1.66	1.89	1	0.49	0.16	1.62	1.64
Rob Bironas	TEN	6.7	1.58	1.77	0.92	0.49	0.16	1.53	1.55
Greg Zuerlein	STL	5.8	1.38	1.73	0.94	0.34	0.1	1.35	1.37
John Kasay	NO	0	0	0	0	0	0	0	0
Olindo Mare	CAR	0	0	0	0	0	0	0	0
Ryan Longwell	MIN	0	0	0	0	0	0	0	0
Josh Brown	NYJ	0	0	0	0	0	0	0	0
Josh Scobee	JAC	0	0	0	0	0	0	0	0
Nick Novak	SD	0	0	0	0	0	0	0	0
Robbie Gould	CHI	0	0	0	0	0	0	0	0
Rhys Lloyd	NYG	0	0	0	0	0	0	0	0
Brandon Coutu	JAC	0	0	0	0	0	0	0	0
Garrett Hartley	NO	0	0	0	0	0	0	0	0
David Buehler	DAL	0	0	0	0	0	0	0	0
Graham Gano	WAS	0	0	0	0	0	0	0	0
Randy Bullock	HOU	0	0	0	0	0	0	0	0
John Potter	BUF	0	0	0	0	0	0	0	0
Justin Medlock	CAR	0	0	0	0	0	0	0	0
